iteration,nb_attempts,ships_used,secret_ship,path
130,2,"['Vanguard Warden', 'C8 Pisces']",C8 Pisces,Vanguard Warden -> C8 Pisces
131,2,"['Dragonfly', 'ROC']",ROC,Dragonfly -> ROC
132,2,"['C8X Pisces Expedition', 'Ranger RC']",Ranger RC,C8X Pisces Expedition -> Ranger RC
133,2,"['Starfarer', 'Scythe']",Scythe,Starfarer -> Scythe
134,2,"['Mustang Beta', 'Scorpius Antares']",Scorpius Antares,Mustang Beta -> Scorpius Antares
135,2,"['HoverQuad', 'G12a']",G12a,HoverQuad -> G12a
136,2,"['Genesis', 'Ursa']",Ursa,Genesis -> Ursa
137,2,"['Retaliator', 'Hull A']",Hull A,Retaliator -> Hull A
138,3,"['Mustang Alpha', 'Apollo Medivac', 'Apollo Triage']",Apollo Triage,Mustang Alpha -> Apollo Medivac -> Apollo Triage
139,2,"['Polaris', 'Merchantman']",Merchantman,Polaris -> Merchantman
140,2,"['Pulse LX', 'Caterpillar']",Caterpillar,Pulse LX -> Caterpillar
141,2,"['Freelancer MAX', 'ROC']",ROC,Freelancer MAX -> ROC
142,2,"['P-52 Merlin', '125a']",125a,P-52 Merlin -> 125a
143,2,"['Storm', 'Expanse']",Expanse,Storm -> Expanse
144,2,"['Cyclone RN', 'MPUV Personnel']",MPUV Personnel,Cyclone RN -> MPUV Personnel
145,2,"['Fury LX', 'Nomad']",Nomad,Fury LX -> Nomad
146,2,"['Cutter', 'F7A Hornet Mk I']",F7A Hornet Mk I,Cutter -> F7A Hornet Mk I
147,2,"['Cyclone RN', 'Legionnaire']",Legionnaire,Cyclone RN -> Legionnaire
148,3,"['890 Jump', 'Hull D', 'Hull E']",Hull E,890 Jump -> Hull D -> Hull E
149,2,"['300i', 'Galaxy']",Galaxy,300i -> Galaxy
150,2,"['Kraken Privateer', 'M2 Hercules']",M2 Hercules,Kraken Privateer -> M2 Hercules
151,2,"['Mustang Beta', 'Cutter Scout']",Cutter Scout,Mustang Beta -> Cutter Scout
152,2,"['Carrack', 'Cutlass Steel']",Cutlass Steel,Carrack -> Cutlass Steel
153,2,"['ATLS', 'Constellation Aquila']",Constellation Aquila,ATLS -> Constellation Aquila
154,3,"['Mantis', '350r', 'M50']",M50,Mantis -> 350r -> M50
155,2,"['Vanguard Hoplite', 'Aurora ES']",Aurora ES,Vanguard Hoplite -> Aurora ES
156,2,"['Terrapin Medic', 'Freelancer']",Freelancer,Terrapin Medic -> Freelancer
157,2,"['Railen', 'Pioneer']",Pioneer,Railen -> Pioneer
158,3,"[""San'tok.yāi"", 'Kraken', 'Kraken Privateer']",Kraken Privateer,San'tok.yāi -> Kraken -> Kraken Privateer
159,2,"['Razor LX', 'C8 Pisces']",C8 Pisces,Razor LX -> C8 Pisces
160,2,"['Railen', 'Nova']",Nova,Railen -> Nova
161,2,"['G12r', 'SRV']",SRV,G12r -> SRV
162,2,"['Railen', 'RAFT']",RAFT,Railen -> RAFT
163,2,"['Freelancer DUR', 'G12']",G12,Freelancer DUR -> G12
164,2,"['C1 Spirit', 'X1']",X1,C1 Spirit -> X1
165,2,"['Cutlass Red', 'Liberator']",Liberator,Cutlass Red -> Liberator
166,2,"['F7C Hornet Mk I', 'Ranger TR']",Ranger TR,F7C Hornet Mk I -> Ranger TR
167,2,"['100i', 'Arrow']",Arrow,100i -> Arrow
168,2,"['Reliant Sen', 'Cutter Scout']",Cutter Scout,Reliant Sen -> Cutter Scout
169,2,"['Vanguard Hoplite', 'Mustang Delta']",Mustang Delta,Vanguard Hoplite -> Mustang Delta
170,2,"['PTV', '85X']",85X,PTV -> 85X
171,2,"['CSV-SM', 'G12a']",G12a,CSV-SM -> G12a
172,2,"['Legionnaire', 'Avenger Titan']",Avenger Titan,Legionnaire -> Avenger Titan
173,2,"['CSV-SM', 'C1 Spirit']",C1 Spirit,CSV-SM -> C1 Spirit
174,2,"['Cutlass Red', 'Cutter Scout']",Cutter Scout,Cutlass Red -> Cutter Scout
175,2,"['Carrack', '100i']",100i,Carrack -> 100i
176,2,"['F7A Hornet Mk I', 'Railen']",Railen,F7A Hornet Mk I -> Railen
177,2,"['Prowler', 'MOLE']",MOLE,Prowler -> MOLE
178,2,"['Freelancer MIS', '600i Explorer']",600i Explorer,Freelancer MIS -> 600i Explorer
179,2,"['SRV', 'Cutlass Blue']",Cutlass Blue,SRV -> Cutlass Blue
180,2,"['Sabre Raven', 'Defender']",Defender,Sabre Raven -> Defender
181,2,"['Cyclone MT', 'Mustang Alpha']",Mustang Alpha,Cyclone MT -> Mustang Alpha
182,2,"['Vanguard Sentinel', 'Scythe']",Scythe,Vanguard Sentinel -> Scythe
183,2,"['Cyclone RN', 'Arrastra']",Arrastra,Cyclone RN -> Arrastra
184,2,"['Reliant Tana', 'Nox']",Nox,Reliant Tana -> Nox
185,2,"['Eclipse', 'Aurora LN']",Aurora LN,Eclipse -> Aurora LN
186,2,"['Mustang Gamma', 'G12']",G12,Mustang Gamma -> G12
187,2,"['Nomad', 'Aurora LN']",Aurora LN,Nomad -> Aurora LN
188,2,"['X1', 'Starfarer Gemini']",Starfarer Gemini,X1 -> Starfarer Gemini
189,2,"['Aurora LX', 'F7A Hornet Mk I']",F7A Hornet Mk I,Aurora LX -> F7A Hornet Mk I
190,2,"['Caterpillar', 'Mustang Beta']",Mustang Beta,Caterpillar -> Mustang Beta
191,2,"['Khartu-Al', 'Hull A']",Hull A,Khartu-Al -> Hull A
192,2,"['350r', 'Vanguard Warden']",Vanguard Warden,350r -> Vanguard Warden
193,2,"['Idris-P', 'Pulse']",Pulse,Idris-P -> Pulse
194,2,"['Aurora ES', 'P-52 Merlin']",P-52 Merlin,Aurora ES -> P-52 Merlin
195,2,"['Starlancer MAX', '85X']",85X,Starlancer MAX -> 85X
196,2,"['Ursa', 'C8R Pisces']",C8R Pisces,Ursa -> C8R Pisces
197,2,"['890 Jump', 'G12a']",G12a,890 Jump -> G12a
198,2,"['P-72 Archimedes', 'Storm']",Storm,P-72 Archimedes -> Storm
199,2,"['Orion', 'Prospector']",Prospector,Orion -> Prospector
200,2,"['PTV', 'P-72 Archimedes']",P-72 Archimedes,PTV -> P-72 Archimedes
201,2,"['Vulture', 'Merchantman']",Merchantman,Vulture -> Merchantman
202,2,"['Freelancer MIS', 'SRV']",SRV,Freelancer MIS -> SRV
203,2,"['ROC', 'Cutter Rambler']",Cutter Rambler,ROC -> Cutter Rambler
204,2,"['Avenger Warlock', 'Railen']",Railen,Avenger Warlock -> Railen
205,2,"['Razor LX', 'F7C Hornet Mk I']",F7C Hornet Mk I,Razor LX -> F7C Hornet Mk I
206,2,"['Prospector', 'Railen']",Railen,Prospector -> Railen
207,2,"['Vanguard Harbinger', '600i Explorer']",600i Explorer,Vanguard Harbinger -> 600i Explorer
208,3,"['Zeus CL Mk II', 'Storm', 'Storm AA']",Storm AA,Zeus CL Mk II -> Storm -> Storm AA
209,2,"['MOLE', 'Ares Star Fighter Inferno']",Ares Star Fighter Inferno,MOLE -> Ares Star Fighter Inferno
210,2,"['A1 Spirit', 'Cyclone AA']",Cyclone AA,A1 Spirit -> Cyclone AA
211,2,"['Galaxy', 'Paladin']",Paladin,Galaxy -> Paladin
212,3,"['Eclipse', 'Fury', 'Fury MX']",Fury MX,Eclipse -> Fury -> Fury MX
213,2,"['Razor LX', 'Cyclone TR']",Cyclone TR,Razor LX -> Cyclone TR
214,2,"['Freelancer MIS', 'Pulse LX']",Pulse LX,Freelancer MIS -> Pulse LX
215,2,"['Aurora MR', 'Blade']",Blade,Aurora MR -> Blade
216,3,"['Hawk', 'Kraken', 'Kraken Privateer']",Kraken Privateer,Hawk -> Kraken -> Kraken Privateer
217,2,"['Mustang Beta', 'Gladius']",Gladius,Mustang Beta -> Gladius
218,3,"['Hammerhead', 'Idris-M', 'Idris-P']",Idris-P,Hammerhead -> Idris-M -> Idris-P
219,2,"['Cyclone RC', '350r']",350r,Cyclone RC -> 350r
220,2,"['Aurora ES', 'Scorpius']",Scorpius,Aurora ES -> Scorpius
221,2,"['Freelancer DUR', 'Mercury']",Mercury,Freelancer DUR -> Mercury
222,2,"['Ursa', '350r']",350r,Ursa -> 350r
223,2,"['Vanguard Warden', 'Freelancer MIS']",Freelancer MIS,Vanguard Warden -> Freelancer MIS
224,2,"['ROC', 'P-72 Archimedes']",P-72 Archimedes,ROC -> P-72 Archimedes
225,2,"['Starfarer', 'Apollo Medivac']",Apollo Medivac,Starfarer -> Apollo Medivac
226,2,"['Spartan', 'Scythe']",Scythe,Spartan -> Scythe
227,2,"['Mustang Omega', 'Razor EX']",Razor EX,Mustang Omega -> Razor EX
228,2,"['300i', 'Mantis']",Mantis,300i -> Mantis
229,2,"['Endeavor', 'Reliant Sen']",Reliant Sen,Endeavor -> Reliant Sen
230,2,"['Hawk', 'Vanguard Warden']",Vanguard Warden,Hawk -> Vanguard Warden
231,2,"['Aurora MR', 'G12a']",G12a,Aurora MR -> G12a
232,2,"['Talon Shrike', 'Cyclone RC']",Cyclone RC,Talon Shrike -> Cyclone RC
233,2,"['Khartu-Al', '600i Touring']",600i Touring,Khartu-Al -> 600i Touring
234,3,"['A2 Hercules', 'Kraken', 'Kraken Privateer']",Kraken Privateer,A2 Hercules -> Kraken -> Kraken Privateer
235,2,"['Retaliator', 'Aurora CL']",Aurora CL,Retaliator -> Aurora CL
236,2,"['Ursa Medivac', 'Razor']",Razor,Ursa Medivac -> Razor
237,2,"['Fury MX', 'Cyclone RC']",Cyclone RC,Fury MX -> Cyclone RC
238,3,"['Eclipse', 'Guardian', 'Guardian QI']",Guardian QI,Eclipse -> Guardian -> Guardian QI
239,2,"['Mustang Delta', 'Reliant Sen']",Reliant Sen,Mustang Delta -> Reliant Sen
240,2,"['Cutter', 'Carrack']",Carrack,Cutter -> Carrack
241,2,"['350r', 'Reliant Tana']",Reliant Tana,350r -> Reliant Tana
242,2,"['Zeus MR Mk II', '100i']",100i,Zeus MR Mk II -> 100i
243,2,"['P-72 Archimedes', 'Ursa']",Ursa,P-72 Archimedes -> Ursa
244,3,"['Mustang Alpha', 'Kraken', 'Kraken Privateer']",Kraken Privateer,Mustang Alpha -> Kraken -> Kraken Privateer
245,2,"['Apollo Triage', 'Ranger TR']",Ranger TR,Apollo Triage -> Ranger TR
246,2,"['M50', 'P-52 Merlin']",P-52 Merlin,M50 -> P-52 Merlin
247,3,"['Corsair', 'Guardian', 'Guardian QI']",Guardian QI,Corsair -> Guardian -> Guardian QI
248,2,"['Avenger Warlock', 'Dragonfly']",Dragonfly,Avenger Warlock -> Dragonfly
249,2,"['Blade', 'A2 Hercules']",A2 Hercules,Blade -> A2 Hercules
250,2,"['Starlancer MAX', 'Kraken']",Kraken,Starlancer MAX -> Kraken
251,2,"['C1 Spirit', 'Fury LX']",Fury LX,C1 Spirit -> Fury LX
252,2,"['Apollo Medivac', 'F7A Hornet Mk II']",F7A Hornet Mk II,Apollo Medivac -> F7A Hornet Mk II
253,2,"['Pulse LX', 'Arrow']",Arrow,Pulse LX -> Arrow
254,2,"['Centurion', 'C2 Hercules']",C2 Hercules,Centurion -> C2 Hercules
255,3,"['Starlancer TAC', 'Idris-M', 'Idris-P']",Idris-P,Starlancer TAC -> Idris-M -> Idris-P
256,2,"['Cyclone RC', 'Liberator']",Liberator,Cyclone RC -> Liberator
257,2,"['Reclaimer', 'Scorpius']",Scorpius,Reclaimer -> Scorpius
258,3,"['Vanguard Hoplite', 'Arrow', 'Hawk']",Hawk,Vanguard Hoplite -> Arrow -> Hawk
259,2,"['Merchantman', 'Centurion']",Centurion,Merchantman -> Centurion
260,2,"['Cutter Scout', 'Pulse']",Pulse,Cutter Scout -> Pulse
261,2,"['Genesis', 'Intrepid']",Intrepid,Genesis -> Intrepid
262,2,"['Sabre', 'Nox']",Nox,Sabre -> Nox
263,2,"['100i', 'Orion']",Orion,100i -> Orion
264,3,"['Spartan', 'Apollo Medivac', 'Apollo Triage']",Apollo Triage,Spartan -> Apollo Medivac -> Apollo Triage
265,2,"['F7C-S Hornet Ghost Mk II', 'A1 Spirit']",A1 Spirit,F7C-S Hornet Ghost Mk II -> A1 Spirit
266,2,"['Reclaimer', 'Idris-M']",Idris-M,Reclaimer -> Idris-M
267,2,"['Zeus CL Mk II', 'Ranger CV']",Ranger CV,Zeus CL Mk II -> Ranger CV
268,2,"['Razor', 'Cutter']",Cutter,Razor -> Cutter
269,2,"['Lynx', 'Aurora LN']",Aurora LN,Lynx -> Aurora LN
270,2,"['400i', 'Endeavor']",Endeavor,400i -> Endeavor
271,2,"['Nomad', 'Hurricane']",Hurricane,Nomad -> Hurricane
272,2,"['Arrastra', 'Guardian']",Guardian,Arrastra -> Guardian
273,2,"['Reliant Mako', 'Constellation Phoenix']",Constellation Phoenix,Reliant Mako -> Constellation Phoenix
274,2,"['Ranger RC', 'F7A Hornet Mk II']",F7A Hornet Mk II,Ranger RC -> F7A Hornet Mk II
275,2,"['Intrepid', '600i Touring']",600i Touring,Intrepid -> 600i Touring
276,3,"['MPUV Personnel', '350r', 'M50']",M50,MPUV Personnel -> 350r -> M50
277,2,"['Starlancer TAC', '315p']",315p,Starlancer TAC -> 315p
278,2,"['Idris-P', 'Ironclad Assault']",Ironclad Assault,Idris-P -> Ironclad Assault
279,2,"['890 Jump', 'ROC']",ROC,890 Jump -> ROC
280,2,"['Railen', 'Lynx']",Lynx,Railen -> Lynx
281,2,"['Pulse LX', 'Cutlass Blue']",Cutlass Blue,Pulse LX -> Cutlass Blue
282,2,"['Endeavor', 'Hull C']",Hull C,Endeavor -> Hull C
283,2,"['Odyssey', 'ROC-DS']",ROC-DS,Odyssey -> ROC-DS
284,2,"['Mercury', 'Gladius']",Gladius,Mercury -> Gladius
285,2,"['Terrapin', 'Idris-M']",Idris-M,Terrapin -> Idris-M
286,2,"['Scythe', 'Gladiator']",Gladiator,Scythe -> Gladiator
287,2,"['Prowler', 'Starfarer']",Starfarer,Prowler -> Starfarer
288,2,"['Scorpius', 'Mule']",Mule,Scorpius -> Mule
289,2,"['Dragonfly', 'ROC']",ROC,Dragonfly -> ROC
290,2,"['ROC-DS', 'Lynx']",Lynx,ROC-DS -> Lynx
291,2,"['F8C Lightning', 'Pioneer']",Pioneer,F8C Lightning -> Pioneer
292,2,"['F7C Hornet Mk II', 'C8X Pisces Expedition']",C8X Pisces Expedition,F7C Hornet Mk II -> C8X Pisces Expedition
293,2,"['F7C-S Hornet Ghost Mk II', 'Nautilus']",Nautilus,F7C-S Hornet Ghost Mk II -> Nautilus
294,2,"['Reliant Tana', 'Dragonfly']",Dragonfly,Reliant Tana -> Dragonfly
295,2,"['300i', 'Storm']",Storm,300i -> Storm
296,2,"['Zeus ES Mk II', 'Ares Star Fighter Inferno']",Ares Star Fighter Inferno,Zeus ES Mk II -> Ares Star Fighter Inferno
297,1,['Freelancer DUR'],Freelancer DUR,Freelancer DUR
298,2,"['Caterpillar', 'Aurora ES']",Aurora ES,Caterpillar -> Aurora ES
299,2,"['F7C Hornet Mk II', 'Terrapin Medic']",Terrapin Medic,F7C Hornet Mk II -> Terrapin Medic
300,2,"['Ironclad Assault', 'Vanguard Warden']",Vanguard Warden,Ironclad Assault -> Vanguard Warden
301,2,"['Razor EX', 'F7C-M Super Hornet']",F7C-M Super Hornet,Razor EX -> F7C-M Super Hornet
302,2,"['Pulse', 'Blade']",Blade,Pulse -> Blade
303,2,"['Hawk', 'Paladin']",Paladin,Hawk -> Paladin
304,2,"['Ranger TR', 'Cyclone RN']",Cyclone RN,Ranger TR -> Cyclone RN
305,2,"['F7C-S Hornet Ghost Mk II', 'Starlancer TAC']",Starlancer TAC,F7C-S Hornet Ghost Mk II -> Starlancer TAC
