name                       ,cargo_capacity ,mass      ,crew ,manufacturer                              ,type        ,status       ,role                                           ,price  ,release_date ,price_ingame   ,scm    ,max    ,length ,beam   ,height
Centurion                  ,             0 ,   134016 ,   2 ,Anvil Aerospace                           ,ground      ,flight-ready ,{'0': 'Combat'}                                ,110.0  ,2022         ,1164240.0      ,  25.0 ,  25.0 , 17.0  ,  7.0  ,  5.5
Constellation Andromeda    ,            96 ,   430057 ,   4 ,Roberts Space Industries                  ,multi       ,flight-ready ,"{'0': 'Medium Freight', '1': 'Gunship'}"      ,240.0  ,2015         ,10160640.0     , 200.0 ,1000.0 , 63.5  , 27.75 , 15.25
Constellation Aquila       ,            96 ,   449743 ,   4 ,Roberts Space Industries                  ,exploration ,flight-ready ,{'0': 'Expedition'}                            ,315.0  ,2017         ,12186720.0     , 146.0 , 988.0 , 63.5  , 27.75 , 15.25
Constellation Phoenix      ,            96 ,   427001 ,   4 ,Roberts Space Industries                  ,exploration ,flight-ready ,{'0': 'Luxury Touring'}                        ,350.0  ,2018         ,14817600.0     , 200.0 ,1000.0 , 63.5  , 27.75 , 15.25
Constellation Taurus       ,           174 ,   427001 ,   4 ,Roberts Space Industries                  ,transport   ,flight-ready ,{'0': 'Medium Freight'}                        ,200.0  ,2021         ,8043840.0      , 200.0 ,1000.0 , 70.0  , 27.75 , 15.25
Corsair                    ,            72 ,   445456 ,   4 ,Drake Interplanetary                      ,exploration ,flight-ready ,{'0': 'Expedition'}                            ,250.0  ,2022         ,6552000.0      , 200.0 ,1000.0 , 53.0  , 30.0  , 25.0
Crucible                   ,           230 ,  3650500 ,   8 ,Anvil Aerospace                           ,support     ,in-concept   ,{'0': 'Heavy Repair'}                          ,350.0  ,Unreleased   ,               ,       ,       , 90.0  , 50.0  , 20.0
CSV-SM                     ,             4 ,    14755 ,   1 ,Argo Astronautics                         ,ground      ,flight-ready ,{'0': 'Freight'}                               ,45.0   ,2024         ,68040.0        ,  32.0 ,  32.0 ,  5.4  ,  4.1  ,  2.8
Cutlass Black              ,            46 ,   246577 ,   3 ,Drake Interplanetary                      ,multi       ,flight-ready ,{'0': 'Medium Freight'}                        ,110.0  ,2014         ,2116800.0      , 215.0 ,1125.0 , 37.5  , 26.5  , 11.5
Cutlass Blue               ,            12 ,   226700 ,   3 ,Drake Interplanetary                      ,combat      ,flight-ready ,{'0': 'Interdiction'}                          ,175.0  ,2020         ,3704400.0      , 215.0 ,1125.0 , 37.5  , 26.5  , 11.5
Cutlass Red                ,            12 ,   226700 ,   2 ,Drake Interplanetary                      ,support     ,flight-ready ,{'0': 'Medical'}                               ,135.0  ,2020         ,2857680.0      , 215.0 ,1125.0 , 37.5  , 26.5  , 11.5
Cutlass Steel              ,             0 ,   246577 ,   3 ,Drake Interplanetary                      ,combat      ,flight-ready ,{'0': 'Dropship'}                              ,235.0  ,2021         ,3997350.0      , 200.0 ,1100.0 , 37.5  , 26.5  , 11.5
Cutter                     ,             4 ,    86877 ,   1 ,Drake Interplanetary                      ,transport   ,flight-ready ,"{'0': 'Starter', '1': 'Light Freight'}"       ,45.0   ,2022         ,625040.0       , 180.0 ,1010.0 , 20.0  , 16.0  ,  6.0
Cutter Rambler             ,             2 ,    86877 ,   1 ,Drake Interplanetary                      ,exploration ,flight-ready ,"{'0': 'Starter', '1': 'Expedition'}"          ,50.0   ,2023         ,740880.0       , 180.0 ,1010.0 , 20.0  , 16.0  ,  6.0
Cutter Scout               ,             2 ,    92877 ,   1 ,Drake Interplanetary                      ,exploration ,flight-ready ,"{'0': 'Reconnaissance', '1': 'Intelligence'}" ,50.0   ,2023         ,705600.0       , 180.0 ,1010.0 , 20.0  , 16.0  ,  6.0
Cyclone                    ,             1 ,    28164 ,   2 ,Tumbril Land Systems                      ,ground      ,flight-ready ,"{'0': 'Exploration', '1': 'Recon'}"           ,55.0   ,2018         ,103950.0       ,  24.0 ,  34.0 ,  6.0  ,  8.75 ,  3.5
Cyclone AA                 ,             0 ,    28264 ,   2 ,Tumbril Land Systems                      ,ground      ,flight-ready ,{'0': 'Anti-aircraft'}                         ,80.0   ,2018         ,151200.0       ,  31.0 ,  31.0 ,  6.0  ,  8.75 ,  3.5
Cyclone MT                 ,             0 ,    27764 ,   3 ,Tumbril Land Systems                      ,ground      ,flight-ready ,{'0': 'Assault'}                               ,75.0   ,2021         ,141750.0       ,  30.0 ,  30.0 ,  6.0  ,  8.75 ,  3.5
Cyclone RC                 ,             0 ,    28264 ,   2 ,Tumbril Land Systems                      ,ground      ,flight-ready ,{'0': 'Racing'}                                ,65.0   ,2018         ,122850.0       ,  38.0 ,  38.0 ,  6.0  ,  8.75 ,  3.5
Cyclone RN                 ,             0 ,    28264 ,   2 ,Tumbril Land Systems                      ,ground      ,flight-ready ,{'0': 'Recon'}                                 ,65.0   ,2018         ,122850.0       ,  35.0 ,  35.0 ,  6.0  ,  8.75 ,  3.5
Cyclone TR                 ,             0 ,    27964 ,   3 ,Tumbril Land Systems                      ,ground      ,flight-ready ,{'0': 'Combat'}                                ,65.0   ,2018         ,122850.0       ,  32.0 ,  32.0 ,  6.0  ,  8.75 ,  3.5
Defender                   ,             0 ,   122930 ,   2 ,Banu                                      ,combat      ,flight-ready ,{'0': 'Light Fighter'}                         ,220.0  ,2019         ,6237000.0      , 222.0 ,1175.0 , 24.5  , 24.5  ,  5.0
Dragonfly                  ,             0 ,     5600 ,   2 ,Drake Interplanetary                      ,competition ,flight-ready ,{'0': 'Racing'}                                ,40.0   ,2017         ,342720.0       , 190.0 , 523.0 ,  7.0  ,  7.0  ,  2.0
E1 Spirit                  ,             0 ,          ,   2 ,Crusader Industries                       ,transport   ,in-concept   ,{'0': 'Passenger'}                             ,150.0  ,Unreleased   ,               , 204.0 ,1130.0 , 46.5  , 43.5  , 10.0
Eclipse                    ,             0 ,    55920 ,   1 ,Aegis Dynamics                            ,combat      ,flight-ready ,{'0': 'Stealth Bomber'}                        ,300.0  ,2018         ,7938000.0      , 202.0 ,1050.0 , 24.5  , 24.5  ,  5.0
Endeavor                   ,           500 ,  4055000 ,   5 ,MISC                                      ,industrial  ,in-concept   ,{'0': 'Heavy Science'}                         ,350.0  ,Unreleased   ,               ,       ,       ,200.0  , 48.0  , 20.0
Expanse                    ,           128 ,          ,   1 ,MISC                                      ,industrial  ,in-concept   ,{'0': 'Refinery'}                              ,150.0  ,Unreleased   ,               ,       ,       , 35.5  , 21.2  , 10.7
F7A Hornet Mk I            ,             0 ,    74132 ,   1 ,Anvil Aerospace                           ,combat      ,flight-ready ,{'0': 'Medium Fighter'}                        ,0.0    ,Unreleased   ,               , 220.0 ,1146.0 , 22.5  , 21.0  ,  6.0
F7A Hornet Mk II           ,             0 ,    73317 ,   1 ,Anvil Aerospace                           ,combat      ,in-concept   ,{'0': 'Medium Fighter'}                        ,150.0  ,Unreleased   ,               , 220.0 ,1146.0 , 28.25 , 25.5  ,  7.5
F7C Hornet Mk I            ,             2 ,    74132 ,   1 ,Anvil Aerospace                           ,combat      ,flight-ready ,{'0': 'Medium Fighter'}                        ,125.0  ,2014         ,2910600.0      , 220.0 ,1150.0 , 28.25 , 25.5  ,  7.5
F7C Hornet Mk II           ,             0 ,    73317 ,   1 ,Anvil Aerospace                           ,combat      ,flight-ready ,{'0': 'Medium Fighter'}                        ,175.0  ,2024         ,               , 220.0 ,1150.0 , 22.2  , 22.0  ,  5.0
F7C-M Super Hornet         ,             0 ,    74132 ,   2 ,Anvil Aerospace                           ,combat      ,flight-ready ,{'0': 'Medium Fighter'}                        ,185.0  ,2014         ,4762800.0      , 219.0 ,1150.0 , 28.25 , 25.5  ,  7.5
F7C-R Hornet Tracker       ,             0 ,    74197 ,   1 ,Anvil Aerospace                           ,combat      ,flight-ready ,{'0': 'Pathfinder'}                            ,185.0  ,2014         ,3210480.0      , 219.0 ,1150.0 , 28.25 , 25.5  ,  7.5
F7C-R Hornet Tracker Mk II ,             0 ,    73317 ,   1 ,Anvil Aerospace                           ,combat      ,flight-ready ,{'0': 'Pathfinder'}                            ,185.0  ,2024         ,               , 220.0 ,1150.0 , 22.5  , 15.0  ,  5.0
F7C-S Hornet Ghost         ,             0 ,    73724 ,   1 ,Anvil Aerospace                           ,combat      ,flight-ready ,{'0': 'Stealth Fighter'}                       ,140.0  ,2014         ,3307500.0      , 220.0 ,1150.0 , 28.25 , 25.5  ,  7.5
F7C-S Hornet Ghost Mk II   ,             0 ,    73317 ,   1 ,Anvil Aerospace                           ,combat      ,flight-ready ,{'0': 'Stealth Fighter'}                       ,185.0  ,2024         ,               , 220.0 ,1150.0 , 22.5  , 15.0  ,  5.0
F8C Lightning              ,             0 ,   158775 ,   1 ,Anvil Aerospace                           ,combat      ,flight-ready ,{'0': 'Heavy Fighter'}                         ,300.0  ,2023         ,               , 210.0 ,1100.0 , 25.0  , 24.0  ,  6.5
Freelancer                 ,            66 ,   231696 ,   4 ,Musashi Industrial and Starflight Concern ,transport   ,flight-ready ,{'0': 'Medium Freight'}                        ,110.0  ,2016         ,3118500.0      , 197.0 ,1010.0 , 38.0  , 23.5  ,  9.5
Freelancer DUR             ,            36 ,   231696 ,   4 ,Musashi Industrial and Starflight Concern ,exploration ,flight-ready ,{'0': 'Expedition'}                            ,135.0  ,2018         ,3316950.0      , 197.0 ,1010.0 , 38.0  , 23.5  ,  9.5
Freelancer MAX             ,           120 ,   231696 ,   4 ,Musashi Industrial and Starflight Concern ,transport   ,flight-ready ,{'0': 'Medium Freight'}                        ,150.0  ,2018         ,4252500.0      , 197.0 ,1010.0 , 38.0  , 34.0  ,  9.5
Freelancer MIS             ,            36 ,   231696 ,   4 ,Musashi Industrial and Starflight Concern ,combat      ,flight-ready ,{'0': 'Gunship'}                               ,175.0  ,2018         ,4961250.0      , 197.0 ,1010.0 , 38.0  , 23.5  ,  9.5
Fury                       ,             0 ,    15339 ,   1 ,Mirai                                     ,combat      ,flight-ready ,{'0': 'Snub Fighter'}                          ,55.0   ,2023         ,727650.0       , 238.0 ,1263.0 ,  7.0  ,  5.4  ,  3.0
Fury LX                    ,             0 ,    14232 ,   1 ,Mirai                                     ,competition ,flight-ready ,{'0': 'Racing'}                                ,55.0   ,2023         ,824670.0       , 249.0 ,1281.0 ,  7.0  ,  5.4  ,  3.0
Fury MX                    ,             0 ,    15339 ,   1 ,Mirai                                     ,combat      ,flight-ready ,{'0': 'Snub Fighter'}                          ,55.0   ,2023         ,727650.0       , 230.0 ,1250.0 ,  7.0  ,  5.4  ,  2.6
G12                        ,             2 ,          ,   2 ,Origin Jumpworks                          ,ground      ,in-concept   ,{'0': 'Touring'}                               ,60.0   ,Unreleased   ,               ,  50.0 ,  50.0 ,  7.2  ,  5.8  ,  2.7
G12a                       ,             0 ,          ,   2 ,Origin Jumpworks                          ,ground      ,in-concept   ,{'0': 'Military'}                              ,65.0   ,Unreleased   ,               ,  45.0 ,  45.0 ,  7.2  ,  5.8  ,  2.7
G12r                       ,             0 ,          ,   2 ,Origin Jumpworks                          ,competition ,in-concept   ,{'0': 'Racing'}                                ,60.0   ,Unreleased   ,               ,  55.0 ,  55.0 ,  7.2  ,  5.8  ,  2.7
Galaxy                     ,            64 ,          ,   6 ,Roberts Space Industries                  ,multi       ,in-concept   ,{'0': 'Modular'}                               ,380.0  ,Unreleased   ,               ,       ,       ,110.0  , 60.0  , 22.0
Genesis                    ,           300 ,  3120000 ,   8 ,Crusader Industries                       ,transport   ,in-concept   ,{'0': 'Passenger'}                             ,400.0  ,Unreleased   ,               ,       ,       , 85.0  , 80.0  , 25.0
Gladiator                  ,             0 ,    88408 ,   2 ,Anvil Aerospace                           ,combat      ,flight-ready ,{'0': 'Bomber'}                                ,165.0  ,2015         ,4365900.0      , 210.0 ,1125.0 , 22.75 , 21.0  ,  6.0
Gladius                    ,             0 ,    51352 ,   1 ,Aegis Dynamics                            ,combat      ,flight-ready ,{'0': 'Light Fighter'}                         ,90.0   ,2015         ,2381400.0      , 225.0 ,1230.0 , 21.0  , 17.5  ,  5.5
Glaive                     ,             0 ,    72091 ,   1 ,Esperia                                   ,combat      ,flight-ready ,{'0': 'Medium Fighter'}                        ,350.0  ,2014         ,               , 220.0 ,1150.0 , 33.0  , 24.0  ,  9.0
Guardian                   ,             0 ,   117500 ,   1 ,Mirai                                     ,combat      ,flight-ready ,{'0': 'Heavy Fighter'}                         ,250.0  ,2024         ,               , 213.0 ,1125.0 , 25.0  , 16.5  ,  9.0
Guardian QI                ,             0 ,   117500 ,   1 ,Mirai                                     ,combat      ,flight-ready ,{'0': 'Heavy Fighter'}                         ,260.0  ,2024         ,               , 210.0 ,1100.0 , 25.0  , 16.5  ,  9.0
Hammerhead                 ,            40 ,  4617511 ,   9 ,Aegis Dynamics                            ,combat      ,flight-ready ,{'0': 'Heavy Gun Ship'}                        ,725.0  ,2018         ,47958752.0     , 160.0 , 950.0 ,120.0  , 72.0  , 16.0
Hawk                       ,             0 ,    67066 ,   1 ,Anvil Aerospace                           ,combat      ,flight-ready ,{'0': 'Light Fighter'}                         ,100.0  ,2018         ,2646000.0      , 222.0 ,1175.0 ,  0.0  ,  0.0  ,  0.0
Herald                     ,             0 ,    65705 ,   1 ,Drake Interplanetary                      ,transport   ,flight-ready ,{'0': 'Medium Data'}                           ,85.0   ,2016         ,1285200.0      , 240.0 ,1400.0 , 24.75 , 12.5  ,  9.0
HoverQuad                  ,             0 ,     4850 ,   1 ,Consolidated Outland                      ,ground      ,flight-ready ,{'0': 'Racing'}                                ,30.0   ,2022         ,56700.0        , 200.0 , 550.0 ,  1.45 ,  1.32 ,  5.15
Hull A                     ,            64 ,   122650 ,   1 ,Musashi Industrial and Starflight Concern ,industrial  ,flight-ready ,{'0': 'Medium Freight'}                        ,90.0   ,2022         ,1701000.0      , 140.0 , 950.0 , 30.0  , 12.5  ,  8.0
Hull B                     ,           384 ,   387500 ,   1 ,MISC                                      ,transport   ,in-concept   ,{'0': 'Heavy Freight'}                         ,140.0  ,Unreleased   ,               ,       ,       , 49.0  , 15.5  , 17.0
Hull C                     ,          4608 ,   886930 ,   4 ,Musashi Industrial and Starflight Concern ,transport   ,flight-ready ,{'0': 'Heavy Freight'}                         ,500.0  ,2023         ,16537500.0     , 110.0 , 890.0 , 91.17 , 36.05 , 26.28
Hull D                     ,         20736 ,  1216000 ,   5 ,MISC                                      ,transport   ,in-concept   ,{'0': 'Heavy Freight'}                         ,550.0  ,Unreleased   ,               ,       ,       ,209.0  , 70.0  , 70.0
Hull E                     ,         98304 ,  1652000 ,   5 ,MISC                                      ,transport   ,in-concept   ,{'0': 'Heavy Freight'}                         ,750.0  ,Unreleased   ,               ,       ,       ,372.0  ,104.0  ,104.0
Hurricane                  ,             0 ,    90245 ,   2 ,Anvil Aerospace                           ,combat      ,flight-ready ,{'0': 'Heavy Fighter'}                         ,210.0  ,2018         ,5556600.0      , 220.0 ,1150.0 ,  0.0  ,  0.0  ,  0.0
Idris-M                    ,           831 , 37854373 ,  28 ,Aegis Dynamics                            ,combat      ,in-concept   ,{'0': 'Frigate'}                               ,1000.0 ,Unreleased   ,               ,  45.0 , 800.0 ,243.0  ,127.0  , 57.5
Idris-P                    ,           995 , 37854373 ,  28 ,Aegis Dynamics                            ,combat      ,in-concept   ,{'0': 'Frigate'}                               ,1500.0 ,Unreleased   ,               ,  45.0 , 800.0 ,240.0  ,125.0  , 45.0
Intrepid                   ,             8 ,    77653 ,   1 ,Crusader Industries                       ,transport   ,flight-ready ,{'0': 'Light Freight'}                         ,65.0   ,2024         ,               , 227.0 ,1225.0 , 23.07 , 20.18 ,  6.13
Ironclad                   ,          1536 ,          ,   6 ,Drake Interplanetary                      ,transport   ,in-concept   ,{'0': 'Armored Freight'}                       ,450.0  ,Unreleased   ,               ,       ,       ,120.0  , 52.0  , 20.0
Ironclad Assault           ,          1152 ,          ,   6 ,Drake Interplanetary                      ,combat      ,in-concept   ,{'0': 'Combined Arms Platform'}                ,535.0  ,Unreleased   ,               ,       ,       ,120.0  , 52.0  , 20.0
Javelin                    ,          5400 ,111080494 ,  80 ,Aegis Dynamics                            ,combat      ,in-concept   ,{'0': 'Destroyer'}                             ,3000.0 ,Unreleased   ,               ,  50.0 , 900.0 ,  0.0  ,  0.0  ,  0.0
Khartu-Al                  ,             0 ,    72711 ,   1 ,Aopoa                                     ,combat      ,flight-ready ,{'0': 'Light Fighter'}                         ,175.0  ,2016         ,7229250        , 226.0 ,1206.0 , 32.0  , 13.5  ,  8.75
Kraken                     ,          3792 ,          ,  10 ,Drake Interplanetary                      ,industrial  ,in-concept   ,"{'0': 'Multi-Role', '1': 'Light Carrier'}"    ,1650.0 ,Unreleased   ,               ,       ,       ,270.0  ,104.0  , 64.0
Kraken Privateer           ,           768 ,          ,  10 ,Drake Interplanetary                      ,industrial  ,in-concept   ,"{'0': 'Multi-Role', '1': 'Light Carrier'}"    ,2000.0 ,Unreleased   ,               ,       ,       ,270.0  ,104.0  , 64.0
Legionnaire                ,             0 ,          ,   2 ,Anvil Aerospace                           ,combat      ,in-concept   ,{'0': 'Boarding'}                              ,120.0  ,Unreleased   ,               ,       ,       , 32.0  , 24.0  , 13.0
Liberator                  ,           400 ,          ,   2 ,Anvil Aerospace                           ,transport   ,in-concept   ,{'0': 'Light Carrier'}                         ,575.0  ,Unreleased   ,               , 115.0 ,       ,119.0  , 67.0  , 25.0
Lynx                       ,             0 ,    45157 ,   2 ,Roberts Space Industries                  ,ground      ,flight-ready ,"{'0': 'Luxury Transport', '1': 'Explorer'}"   ,60.0   ,2023         ,               ,  30.0 ,  30.0 ,  7.75 ,  5.7  ,  3.5
M2 Hercules                ,           522 ,  3139240 ,   3 ,Crusader Industries                       ,combat      ,flight-ready ,{'0': 'Military Transport'}                    ,520.0  ,2021         ,29484000.0     , 160.0 , 950.0 , 70.0  , 94.0  , 23.0
M50                        ,             0 ,    10552 ,   1 ,Origin Jumpworks                          ,competition ,flight-ready ,{'0': 'Racing'}                                ,100.0  ,2014         ,1499400.0      , 280.0 ,1450.0 , 11.5  , 11.0  ,  3.5
Mantis                     ,             0 ,   228123 ,   1 ,Roberts Space Industries                  ,combat      ,flight-ready ,{'0': 'Interdictor'}                           ,150.0  ,2019         ,3402000.0      , 236.0 ,1393.0 , 30.0  , 17.0  ,  7.5
Merchantman                ,          2880 ,  9635000 ,   8 ,Banu                                      ,transport   ,in-concept   ,{'0': 'Heavy Freight'}                         ,650.0  ,Unreleased   ,               ,       ,       ,160.0  ,160.0  , 65.0
