,uuid,name,slug,class_name,sizes,emission,mass,cargo_capacity,vehicle_inventory,personal_inventory,crew,health,shield_hp,speed,fuel,quantum,agility,armor,foci,type,description,size_class,manufacturer,insurance,parts,updated_at,version,id,chassis_id,production_status,production_note,size,msrp,pledge_url,loaner,skus
Avenger Stalker,97648869-5fa5-42da-b804-4d9314289539,Avenger Stalker,avenger-stalker,AEGS_Avenger_Stalker,"{'length': 20, 'beam': 15, 'height': 6.5}","{'ir': 6428, 'em_idle': 5868, 'em_max': 20410}",0,0,0.71,0,"{'min': 1, 'max': None, 'weapon': 0, 'operation': None}",0,2560,"{'scm': 260, 'max': 1425, 'zero_to_scm': 0, 'zero_to_max': 0, 'scm_to_zero': 0, 'max_to_zero': 0}","{'capacity': 0, 'intake_rate': 0, 'usage': {'main': 40, 'maneuvering': 18, 'retro': 0, 'vtol': 0}}","{'quantum_speed': 165000000, 'quantum_spool_time': 4, 'quantum_fuel_capacity': 0, 'quantum_range': 0}","{'pitch': 52.5, 'yaw': 48.5, 'roll': 180, 'acceleration': {'main': 0, 'retro': 0, 'vtol': 0, 'maneuvering': 0, 'main_g': 0, 'retro_g': 0, 'vtol_g': 0, 'maneuvering_g': 0}}","{'signal_infrared': 1, 'signal_electromagnetic': 1, 'signal_cross_section': 1, 'damage_physical': 0.5, 'damage_energy': 1, 'damage_distortion': 1, 'damage_thermal': 1, 'damage_biochemical': 1, 'damage_stun': 0}",['Interdiction'],combat,"Initially designed as a frontline carrier for the military, the Avenger Stalker took a different path, ultimately having a long and storied career as the standard patrol craft of the UEE Advocacy. Utilizing its cargo hold for prisoner transport, the Avenger features a sturdy, reliable hull and the capacity for larger-than-expected engine mounts. *This is the standard Avenger chassis with the Stalker Prisoner Transport module pre-installed.*",2,"{'name': 'Aegis Dynamics', 'code': 'AEGS'}","{'claim_time': 4.86, 'expedite_time': 1.62, 'expedite_cost': 2658}",[],2025-02-21T06:52:48.000000Z,4.1.0-LIVE.9650658,100,7,flight-ready,None,small,60,https://robertsspaceindustries.com/pledge/ships/aegis-avenger/Avenger-Stalker,[],"[{'title': 'Standard Edition', 'price': 60, 'available': 1, 'imported_at': '2024-01-07T12:54:03.000000Z'}]"
Avenger Titan,0079c5d5-1678-4f8c-85ba-18ca8f642af6,Avenger Titan,avenger-titan,AEGS_Avenger_Titan,"{'length': 20, 'beam': 15, 'height': 6.5}","{'ir': 6512, 'em_idle': 5868, 'em_max': 21879}",0,8,1.01,0,"{'min': 1, 'max': None, 'weapon': 0, 'operation': None}",0,3700,"{'scm': 260, 'max': 1425, 'zero_to_scm': 0, 'zero_to_max': 0, 'scm_to_zero': 0, 'max_to_zero': 0}","{'capacity': 0, 'intake_rate': 22, 'usage': {'main': 40, 'maneuvering': 19, 'retro': 0, 'vtol': 0}}","{'quantum_speed': 165000000, 'quantum_spool_time': 4, 'quantum_fuel_capacity': 0, 'quantum_range': 0}","{'pitch': 52.5, 'yaw': 48.5, 'roll': 180, 'acceleration': {'main': 0, 'retro': 0, 'vtol': 0, 'maneuvering': 0, 'main_g': 0, 'retro_g': 0, 'vtol_g': 0, 'maneuvering_g': 0}}","{'signal_infrared': 1, 'signal_electromagnetic': 1, 'signal_cross_section': 1, 'damage_physical': 0.5, 'damage_energy': 1, 'damage_distortion': 1, 'damage_thermal': 1, 'damage_biochemical': 1, 'damage_stun': 0}",['Light Freight'],transport,"With extra room in the back, the Titan’s hold is free to carry cargo. Couple that with the Avenger’s tried and true combat abilities and you’ve got a light cargo hauler that’s more than capable of handling itself in a fight.",2,"{'name': 'Aegis Dynamics', 'code': 'AEGS'}","{'claim_time': 4.05, 'expedite_time': 1.35, 'expedite_cost': 2343}",[],2025-02-21T06:52:48.000000Z,4.1.0-LIVE.9650658,102,7,flight-ready,None,small,60,https://robertsspaceindustries.com/pledge/ships/aegis-avenger/Avenger-Titan,[],"[{'title': 'Avenger Titan Holiday Upgrade', 'price': 60, 'available': 1, 'imported_at': '2024-01-07T12:54:03.000000Z'}, {'title': 'Standard Edition', 'price': 60, 'available': 1, 'imported_at': '2024-01-07T12:54:03.000000Z'}]"
Avenger Titan Renegade,d9bc09ce-4c74-4f72-892e-a833c094f4e6,Avenger Titan Renegade,avenger-titan-renegade,AEGS_Avenger_Titan_Renegade,"{'length': 20, 'beam': 15, 'height': 6.5}","{'ir': 6132, 'em_idle': 5867, 'em_max': 21651}",0,8,1.01,0,"{'min': 1, 'max': None, 'weapon': 0, 'operation': None}",0,3700,"{'scm': 260, 'max': 1425, 'zero_to_scm': 0, 'zero_to_max': 0, 'scm_to_zero': 0, 'max_to_zero': 0}","{'capacity': 0, 'intake_rate': 22, 'usage': {'main': 40, 'maneuvering': 19, 'retro': 0, 'vtol': 0}}","{'quantum_speed': 165000000, 'quantum_spool_time': 4, 'quantum_fuel_capacity': 0, 'quantum_range': 0}","{'pitch': 52.5, 'yaw': 48.5, 'roll': 180, 'acceleration': {'main': 0, 'retro': 0, 'vtol': 0, 'maneuvering': 0, 'main_g': 0, 'retro_g': 0, 'vtol_g': 0, 'maneuvering_g': 0}}","{'signal_infrared': 1, 'signal_electromagnetic': 1, 'signal_cross_section': 1, 'damage_physical': 0.5, 'damage_energy': 1, 'damage_distortion': 1, 'damage_thermal': 1, 'damage_biochemical': 1, 'damage_stun': 0}",['Light Freight'],transport,"Created as part of the ‘Masters of Flight’ series in conjunction with the flight-sim Arena Commander, the Renegade pays tribute to famed pilot Danny Solomon for his notable work with the Advocacy to bring justice to Bremen. This Avenger Titan comes equipped with a specialized dogfighting-focused loadout and a special-edition livery honoring this iconic ship.
",2,"{'name': 'Aegis Dynamics', 'code': 'AEGS'}","{'claim_time': 4.05, 'expedite_time': 1.35, 'expedite_cost': 2343}",[],2025-02-21T06:52:49.000000Z,4.1.0-LIVE.9650658,124,7,flight-ready,None,small,75,https://robertsspaceindustries.com/pledge/ships/aegis-avenger/Avenger-Titan-Renegade,[],"[{'title': 'Standard Edition', 'price': 75, 'available': 1, 'imported_at': '2024-01-09T23:00:58.000000Z'}]"
Avenger Warlock,9474f571-8467-4d83-b1fe-f64103d363f4,Avenger Warlock,avenger-warlock,AEGS_Avenger_Warlock,"{'length': 20, 'beam': 15, 'height': 6.5}","{'ir': 6728, 'em_idle': 6868, 'em_max': 23113}",0,0,0.71,0,"{'min': 1, 'max': None, 'weapon': 0, 'operation': None}",0,2560,"{'scm': 260, 'max': 1425, 'zero_to_scm': 0, 'zero_to_max': 0, 'scm_to_zero': 0, 'max_to_zero': 0}","{'capacity': 0, 'intake_rate': 0, 'usage': {'main': 40, 'maneuvering': 19, 'retro': 0, 'vtol': 0}}","{'quantum_speed': 165000000, 'quantum_spool_time': 4, 'quantum_fuel_capacity': 0, 'quantum_range': 0}","{'pitch': 52.5, 'yaw': 48.5, 'roll': 180, 'acceleration': {'main': 0, 'retro': 0, 'vtol': 0, 'maneuvering': 0, 'main_g': 0, 'retro_g': 0, 'vtol_g': 0, 'maneuvering_g': 0}}","{'signal_infrared': 1, 'signal_electromagnetic': 1, 'signal_cross_section': 1, 'damage_physical': 0.5, 'damage_energy': 1, 'damage_distortion': 1, 'damage_thermal': 1, 'damage_biochemical': 1, 'damage_stun': 0}",['Interdiction'],combat,"Outfitted with a Behring REP-8 EMP Generator, the Warlock makes non-lethal suppression possible via a powerful electromagnetic wave capable of disabling any electronics within the blast radius.

*This is the standard Avenger chassis with the Warlock EMP module pre-installed.*",2,"{'name': 'Aegis Dynamics', 'code': 'AEGS'}","{'claim_time': 4.86, 'expedite_time': 1.62, 'expedite_cost': 2724}",[],2025-02-21T06:52:49.000000Z,4.1.0-LIVE.9650658,101,7,flight-ready,None,small,85,https://robertsspaceindustries.com/pledge/ships/aegis-avenger/Avenger-Warlock,[],"[{'title': 'Warbond Edition', 'price': 80, 'available': 1, 'imported_at': '2024-01-07T12:54:03.000000Z'}, {'title': 'Standard Edition', 'price': 85, 'available': 1, 'imported_at': '2024-01-09T23:00:58.000000Z'}]"
Ballista,a04a1503-ac5c-4520-bc22-4b1a1a198eff,Ballista,ballista,ANVL_Ballista,"{'length': 17, 'beam': 7, 'height': 5.5}","{'ir': 1790, 'em_idle': 3308, 'em_max': 16174}",0,0,2.11,0,"{'min': 2, 'max': None, 'weapon': 2, 'operation': None}",0,1090,"{'scm': None, 'max': 25, 'zero_to_scm': 0, 'zero_to_max': 3.5700000000000003, 'scm_to_zero': 0, 'max_to_zero': 25, 'reverse': 10}","{'capacity': 0, 'intake_rate': 0, 'usage': {'main': 0, 'maneuvering': 0, 'retro': 0, 'vtol': 0}}",,"{'pitch': None, 'yaw': None, 'roll': None, 'v0_steer_max': 20, 'kv_steer_max': 5, 'vmax_steer_max': 15, 'deceleration': {'main': 1}, 'acceleration': {'main': 7, 'retro': 0, 'vtol': 0, 'maneuvering': 0, 'main_g': 0, 'retro_g': 0, 'vtol_g': 0, 'maneuvering_g': 0}}","{'signal_infrared': 1, 'signal_electromagnetic': 1, 'signal_cross_section': 1, 'damage_physical': 0.46, 'damage_energy': 1, 'damage_distortion': 1, 'damage_thermal': 1, 'damage_biochemical': 1, 'damage_stun': 0}",['Military'],combat,"Keep your airspace clear of danger with the Anvil Ballista. Originally designed to defend outposts from Vanduul attacks, this mobile missile defense system packs a powerful loadout, allowing the Ballista to stand firm against any threat, whether it arrives by air or land.",4,"{'name': 'Anvil Aerospace', 'code': 'ANVL'}","{'claim_time': 6.19, 'expedite_time': 2.059, 'expedite_cost': 8073}",[],2025-02-21T06:57:37.000000Z,4.1.0-LIVE.9650658,183,75,flight-ready,None,vehicle,140,https://robertsspaceindustries.com/pledge/ships/anvil-ballista/Ballista,[],"[{'title': 'Standard Edition', 'price': 140, 'available': 1, 'imported_at': '2024-01-07T12:54:05.000000Z'}, {'title': 'Warbond Edition', 'price': 130, 'available': 1, 'imported_at': '2024-02-27T23:00:34.000000Z'}]"
Blade,0d4c5000-ffdb-41f5-9de1-d64252dfef21,Blade,blade,VNCL_Blade,"{'length': 20.5, 'beam': 16.5, 'height': 5.5}","{'ir': 9891, 'em_idle': 7011, 'em_max': 21964}",0,0,1.3,0,"{'min': 1, 'max': None, 'weapon': 0, 'operation': None}",0,3460,"{'scm': 225, 'max': 1200, 'zero_to_scm': 0, 'zero_to_max': 0, 'scm_to_zero': 0, 'max_to_zero': 0}","{'capacity': 0, 'intake_rate': 0, 'usage': {'main': 130, 'maneuvering': 127, 'retro': 16, 'vtol': 0}}","{'quantum_speed': 165000000, 'quantum_spool_time': 4, 'quantum_fuel_capacity': 0, 'quantum_range': 0}","{'pitch': 55, 'yaw': 65, 'roll': 200, 'acceleration': {'main': 0, 'retro': 0, 'vtol': 0, 'maneuvering': 0, 'main_g': 0, 'retro_g': 0, 'vtol_g': 0, 'maneuvering_g': 0}}","{'signal_infrared': 1, 'signal_electromagnetic': 1, 'signal_cross_section': 1, 'damage_physical': 0.48, 'damage_energy': 1, 'damage_distortion': 1, 'damage_thermal': 1, 'damage_biochemical': 1, 'damage_stun': 0}",['Light Fighter'],combat,"Vanduul light fighters, designated 'Blade', are often used as scouts and first wave assault crafts. Over the decades of conflict, they have been increasingly used to take out comm arrays and early warning systems. They have also served well as skirmisher units as their speed allows them to chase down ships attempting to flee. If engaged, expect the Blade to utilize its speed and agility to wear down your defenses.",2,"{'name': 'Esperia', 'code': 'ESPR'}","{'claim_time': 10.329, 'expedite_time': 3.44, 'expedite_cost': 5124}",[],2025-02-21T06:57:32.000000Z,4.1.0-LIVE.9650658,108,39,flight-ready,None,small,275,https://robertsspaceindustries.com/pledge/ships/vanduul-blade/Blade,[],"[{'title': 'Standard Edition', 'price': 275, 'available': 1, 'imported_at': '2024-01-09T23:00:58.000000Z'}]"
Buccaneer,efec4d48-77ab-4cba-9add-a3d96c5be8d8,Buccaneer,buccaneer,DRAK_Buccaneer,"{'length': 15.25, 'beam': 16.75, 'height': 5.5}","{'ir': 9608, 'em_idle': 7634, 'em_max': 23557}",0,0,0.9,0,"{'min': 1, 'max': None, 'weapon': 0, 'operation': None}",0,1500,"{'scm': 240, 'max': 1400, 'zero_to_scm': 0, 'zero_to_max': 0, 'scm_to_zero': 0, 'max_to_zero': 0}","{'capacity': 0, 'intake_rate': 0, 'usage': {'main': 59, 'maneuvering': 28, 'retro': 14, 'vtol': 0}}","{'quantum_speed': 165000000, 'quantum_spool_time': 4, 'quantum_fuel_capacity': 0, 'quantum_range': 0}","{'pitch': 50, 'yaw': 42, 'roll': 160, 'acceleration': {'main': 0, 'retro': 0, 'vtol': 0, 'maneuvering': 0, 'main_g': 0, 'retro_g': 0, 'vtol_g': 0, 'maneuvering_g': 0}}","{'signal_infrared': 1, 'signal_electromagnetic': 1, 'signal_cross_section': 1, 'damage_physical': 0.42, 'damage_energy': 1, 'damage_distortion': 1, 'damage_thermal': 1, 'damage_biochemical': 1, 'damage_stun': 0}",['Interdiction'],combat,"The Buccaneer has been designed from the ground up to fly and fight the way you live. No leather interiors or hyperpillows here: the ‘Bucc is a scrapper designed to maneuver and fight above its weight class. This rough-and-tumble frontier fighter can be maintained in the worst of conditions in order to keep real, working space crews alive.",2,"{'name': 'Drake Interplanetary', 'code': 'DRAK'}","{'claim_time': 5.4, 'expedite_time': 1.799, 'expedite_cost': 2700}",[],2025-02-21T06:55:18.000000Z,4.1.0-LIVE.9650658,110,41,flight-ready,None,small,110,https://robertsspaceindustries.com/pledge/ships/drake-buccaneer/Buccaneer,[],"[{'title': 'Standard Edition', 'price': 110, 'available': 1, 'imported_at': '2024-01-09T23:00:58.000000Z'}, {'title': 'Imperator Subscribers Edition', 'price': 110, 'available': 1, 'imported_at': '2025-04-01T22:00:51.000000Z'}, {'title': 'Centurion Subscribers Edition', 'price': 110, 'available': 1, 'imported_at': '2025-04-01T22:00:51.000000Z'}]"
C1 Spirit,,C1 Spirit,c1-spirit,,"{'length': 47.5, 'beam': 44, 'height': 10}",,314270,64,,,"{'min': 1, 'max': 2}",,,"{'scm': 204, 'max': 1130}",,,"{'pitch': None, 'yaw': None, 'roll': None, 'acceleration': {'x_axis': None, 'y_axis': None, 'z_axis': None}}",,['Medium Freight'],transport,"Crusader Industries brings its usual commitment to excellence directly to the civilian market with the C1 Spirit, a multi-purpose starship tuned for mid-range cargo delivery and courier work with enough versatility to tackle multiple roles and unpredictable jobs.",,"{'code': 'CRUS', 'name': 'Crusader Industries'}",,,2025-05-13T16:06:33.000000Z,,234,100,flight-ready,None,medium,125,https://robertsspaceindustries.com/pledge/ships/spirit/C1-Spirit,"[{'name': 'Cutlass Black', 'link': 'https://api.star-citizen.wiki/api/v2/vehicles/b58f7735-9454-4a0a-b724-2bc8d61961d7', 'version': '3.20.0-LIVE.8701927'}]","[{'title': 'Warbond Edition', 'price': 110, 'available': 1, 'imported_at': '2024-01-07T12:54:06.000000Z'}, {'title': 'Standard Edition', 'price': 125, 'available': 1, 'imported_at': '2024-01-07T12:54:06.000000Z'}, {'title': 'Warbond Edition', 'price': 110, 'available': 1, 'imported_at': '2024-02-24T23:00:55.000000Z'}, {'title': 'Warbond Edition', 'price': 115, 'available': 1, 'imported_at': '2024-04-12T22:00:30.000000Z'}, {'title': 'Warbond Edition', 'price': 115, 'available': 1, 'imported_at': '2024-05-20T22:00:26.000000Z'}, {'title': 'Imperator Subscribers Edition', 'price': 125, 'available': 1, 'imported_at': '2024-11-05T23:01:24.000000Z'}, {'title': 'Centurion Subscribers Edition', 'price': 125, 'available': 1, 'imported_at': '2024-11-05T23:01:24.000000Z'}, {'title': 'Warbond Edition', 'price': 115, 'available': 1, 'imported_at': '2024-12-01T23:01:41.000000Z'}, {'title': 'Standard Edition', 'price': 125, 'available': 1, 'imported_at': '2024-12-01T23:01:41.000000Z'}]"
C2 Hercules,,C2 Hercules,c2-hercules,,"{'length': 70, 'beam': 94, 'height': 23}",,3139240,696,,,"{'min': 1, 'max': 2}",,,"{'scm': 160, 'max': 950}",,,"{'pitch': None, 'yaw': None, 'roll': None, 'acceleration': {'x_axis': None, 'y_axis': None, 'z_axis': None}}",,['Heavy Freight'],transport,"Utilizing the patented Hercules military-grade spaceframe and expanding cargo capacity, while sacrificing barely any firepower, the C2 has taken the private sector by storm. It has become the industry standard for racing teams, ship dealers and manufacturers, construction orgs, mining corporations, and even large-scale touring entertainment outfits. ",,"{'code': 'CRUS', 'name': 'Crusader Industries'}",,,2025-05-13T16:06:48.000000Z,,162,64,flight-ready,None,large,400,https://robertsspaceindustries.com/pledge/ships/crusader-starlifter/C2-Hercules,[],"[{'title': 'BIS Warbond Edition', 'price': 365, 'available': 1, 'imported_at': '2024-01-07T12:54:04.000000Z'}, {'title': 'Warbond Edition', 'price': 370, 'available': 1, 'imported_at': '2024-01-25T23:00:40.000000Z'}, {'title': 'Standard Edition', 'price': 400, 'available': 1, 'imported_at': '2024-01-25T23:00:40.000000Z'}]"
C8 Pisces,20d5f617-147a-4530-a753-a7afd1875fd1,C8 Pisces,c8-pisces,ANVL_C8_Pisces,"{'length': 16, 'beam': 12, 'height': 8}","{'ir': 5578, 'em_idle': 4683, 'em_max': 20069}",0,4,0.71,0,"{'min': 1, 'max': None, 'weapon': 0, 'operation': None}",0,1280,"{'scm': 220, 'max': 1150, 'zero_to_scm': 0, 'zero_to_max': 0, 'scm_to_zero': 0, 'max_to_zero': 0}","{'capacity': 0, 'intake_rate': 12, 'usage': {'main': 2, 'maneuvering': 31, 'retro': 1, 'vtol': 0}}","{'quantum_speed': 165000000, 'quantum_spool_time': 4, 'quantum_fuel_capacity': 0, 'quantum_range': 0}","{'pitch': 60, 'yaw': 60, 'roll': 150, 'acceleration': {'main': 0, 'retro': 0, 'vtol': 0, 'maneuvering': 0, 'main_g': 0, 'retro_g': 0, 'vtol_g': 0, 'maneuvering_g': 0}}",,['Exploration'],exploration,"Additional firepower turns the base Pisces into a highly capable mini-explorer. Ideal for inter-system travel or investigating tight spots inaccessible to larger ships, it’s a small ship ready for big adventures.",1,"{'name': 'Anvil Aerospace', 'code': 'ANVL'}","{'claim_time': 3.359, 'expedite_time': 1.12, 'expedite_cost': 1806}",[],2025-02-21T06:53:47.000000Z,4.1.0-LIVE.9650658,191,78,flight-ready,None,small,,,[],[]
C8R Pisces,1bed9058-e284-4c0f-b561-6ba57ab4f99d,C8R Pisces,c8r-pisces,ANVL_C8R_Pisces,"{'length': 16, 'beam': 12, 'height': 8}","{'ir': 5242, 'em_idle': 4683, 'em_max': 20062}",0,0,0.71,0.12,"{'min': 1, 'max': None, 'weapon': 0, 'operation': None}",0,1280,"{'scm': 220, 'max': 1150, 'zero_to_scm': 0, 'zero_to_max': 0, 'scm_to_zero': 0, 'max_to_zero': 0}","{'capacity': 0, 'intake_rate': 12, 'usage': {'main': 2, 'maneuvering': 31, 'retro': 1, 'vtol': 0}}","{'quantum_speed': 165000000, 'quantum_spool_time': 4, 'quantum_fuel_capacity': 0, 'quantum_range': 0}","{'pitch': 56, 'yaw': 56, 'roll': 142, 'acceleration': {'main': 0, 'retro': 0, 'vtol': 0, 'maneuvering': 0, 'main_g': 0, 'retro_g': 0, 'vtol_g': 0, 'maneuvering_g': 0}}",,['Medical'],support,"With the addition of an onboard Tier 3 Medical Bed, the C8R Pisces can treat minor injuries and keep a patient stable while transporting them to the safety of a larger ship, station, or nearby medical facility, making it an invaluable asset for short-range search and rescue.",1,"{'name': 'Anvil Aerospace', 'code': 'ANVL'}","{'claim_time': 4.59, 'expedite_time': 1.529, 'expedite_cost': 2301}",[],2025-02-21T06:53:44.000000Z,4.1.0-LIVE.9650658,241,78,flight-ready,None,small,65,https://robertsspaceindustries.com/pledge/ships/anvil-pisces/C8R-Pisces,[],"[{'title': 'Standard Edition', 'price': 65, 'available': 1, 'imported_at': '2024-01-07T12:54:06.000000Z'}]"
C8X Pisces Expedition,831fdcfc-337a-4350-967d-e693d19efeee,C8X Pisces Expedition,c8x-pisces-expedition,ANVL_C8X_Pisces_Expedition,"{'length': 16, 'beam': 12, 'height': 8}","{'ir': 5638, 'em_idle': 4793, 'em_max': 20179}",0,4,0.71,0,"{'min': 1, 'max': None, 'weapon': 0, 'operation': None}",0,1280,"{'scm': 220, 'max': 1150, 'zero_to_scm': 0, 'zero_to_max': 0, 'scm_to_zero': 0, 'max_to_zero': 0}","{'capacity': 0, 'intake_rate': 12, 'usage': {'main': 2, 'maneuvering': 31, 'retro': 1, 'vtol': 0}}","{'quantum_speed': 165000000, 'quantum_spool_time': 4, 'quantum_fuel_capacity': 0, 'quantum_range': 0}","{'pitch': 60, 'yaw': 60, 'roll': 150, 'acceleration': {'main': 0, 'retro': 0, 'vtol': 0, 'maneuvering': 0, 'main_g': 0, 'retro_g': 0, 'vtol_g': 0, 'maneuvering_g': 0}}",,['Expedition'],exploration,"Additional firepower turns the base Pisces into a highly capable mini-explorer. Ideal for inter-system travel or investigating tight spots inaccessible to larger ships, it’s a small ship ready for big adventures.  ",1,"{'name': 'Anvil Aerospace', 'code': 'ANVL'}","{'claim_time': 3.359, 'expedite_time': 1.12, 'expedite_cost': 1806}",[],2025-02-21T06:53:45.000000Z,4.1.0-LIVE.9650658,192,78,flight-ready,None,small,45,https://robertsspaceindustries.com/pledge/ships/anvil-pisces/C8X-Pisces-Expedition,[],"[{'title': 'Standard Edition', 'price': 45, 'available': 1, 'imported_at': '2024-01-07T12:54:05.000000Z'}]"
Carrack,f6d606c9-b324-4efa-814f-15a59047a6a5,Carrack,carrack,ANVL_Carrack,"{'length': 74, 'beam': 126, 'height': 30}","{'ir': 18357, 'em_idle': 20818, 'em_max': 59514}",4397858,456,8.92,0,"{'min': 6, 'max': None, 'weapon': 6, 'operation': None}",0,112200,"{'scm': 140, 'max': 1050, 'zero_to_scm': 0, 'zero_to_max': 0, 'scm_to_zero': 0, 'max_to_zero': 0}","{'capacity': 0, 'intake_rate': 800, 'usage': {'main': 465, 'maneuvering': 551, 'retro': 186, 'vtol': 259}}","{'quantum_speed': 319000000, 'quantum_spool_time': 7, 'quantum_fuel_capacity': 0, 'quantum_range': 0}","{'pitch': 16, 'yaw': 16, 'roll': 30, 'acceleration': {'main': 0, 'retro': 0, 'vtol': 0, 'maneuvering': 0, 'main_g': 0, 'retro_g': 0, 'vtol_g': 0, 'maneuvering_g': 0}}","{'signal_infrared': 1, 'signal_electromagnetic': 1, 'signal_cross_section': 1, 'damage_physical': 0.46, 'damage_energy': 1, 'damage_distortion': 1, 'damage_thermal': 1, 'damage_biochemical': 1, 'damage_stun': 0}",['Expedition'],exploration,"The Anvil Carrack features reinforced fuel tanks for long-duration flight, an advanced jump drive, and a dedicated computer core for jump charting operations. Originally a military exclusive, the Carrack is now available for civilian use. On-board accommodations include crew medical and repair facilities, and a mapping-oriented sensor suite.",5,"{'name': 'Anvil Aerospace', 'code': 'ANVL'}","{'claim_time': 48.299, 'expedite_time': 16.1, 'expedite_cost': 19595}",[],2025-02-21T06:53:47.000000Z,4.1.0-LIVE.9650658,62,22,flight-ready,None,large,600,https://robertsspaceindustries.com/pledge/ships/carrack/Carrack,"[{'name': 'Ursa', 'link': 'https://api.star-citizen.wiki/api/v2/vehicles/8c375d7e-0e44-42e8-b84b-c8d6b2e1256c', 'version': '4.1.1-LIVE.9768350'}, {'name': 'C8X Pisces Expedition', 'link': 'https://api.star-citizen.wiki/api/v2/vehicles/831fdcfc-337a-4350-967d-e693d19efeee', 'version': '4.1.1-LIVE.9768350'}]","[{'title': 'Anvil Carrack Upgrade', 'price': 500, 'available': 1, 'imported_at': '2024-01-07T12:54:03.000000Z'}, {'title': 'Warbond Edition', 'price': 560, 'available': 1, 'imported_at': '2024-01-10T23:00:58.000000Z'}, {'title': 'Standard Edition', 'price': 600, 'available': 1, 'imported_at': '2024-01-10T23:00:58.000000Z'}, {'title': 'Warbond Edition', 'price': 560, 'available': 1, 'imported_at': '2024-02-08T23:00:12.000000Z'}, {'title': 'Warbond Edition', 'price': 560, 'available': 1, 'imported_at': '2024-05-24T22:00:25.000000Z'}]"
Carrack Expedition,f1b224dd-273e-488f-9dee-fbf73f44f462,Carrack Expedition,carrack-expedition,ANVL_Carrack_Expedition,"{'length': 74, 'beam': 126, 'height': 30}","{'ir': 18357, 'em_idle': 20818, 'em_max': 59514}",4397858,456,8.92,0,"{'min': 6, 'max': None, 'weapon': 6, 'operation': None}",0,112200,"{'scm': 140, 'max': 1050, 'zero_to_scm': 0, 'zero_to_max': 0, 'scm_to_zero': 0, 'max_to_zero': 0}","{'capacity': 0, 'intake_rate': 800, 'usage': {'main': 465, 'maneuvering': 551, 'retro': 186, 'vtol': 259}}","{'quantum_speed': 319000000, 'quantum_spool_time': 7, 'quantum_fuel_capacity': 0, 'quantum_range': 0}","{'pitch': 16, 'yaw': 16, 'roll': 30, 'acceleration': {'main': 0, 'retro': 0, 'vtol': 0, 'maneuvering': 0, 'main_g': 0, 'retro_g': 0, 'vtol_g': 0, 'maneuvering_g': 0}}","{'signal_infrared': 1, 'signal_electromagnetic': 1, 'signal_cross_section': 1, 'damage_physical': 0.46, 'damage_energy': 1, 'damage_distortion': 1, 'damage_thermal': 1, 'damage_biochemical': 1, 'damage_stun': 0}",['Expedition'],exploration,"The Anvil Carrack features reinforced fuel tanks for long-duration flight, an advanced jump drive, and a dedicated computer core for jump charting operations. Originally a military exclusive, the Carrack is now available for civilian use. On-board accommodations include crew medical and repair facilities, and a mapping-oriented sensor suite.",5,"{'name': 'Anvil Aerospace', 'code': 'ANVL'}","{'claim_time': 48.299, 'expedite_time': 16.1, 'expedite_cost': 19595}",[],2025-02-21T06:53:48.000000Z,4.1.0-LIVE.9650658,206,22,flight-ready,None,large,625,https://robertsspaceindustries.com/pledge/ships/carrack/Carrack-Expedition,[],[]
