start_ship,end_ship,path_length,total_distance,complete_path
125a,100i,2,1.0,125a -> 100i
125a,125a,1,0.0,125a
125a,135c,2,1.0,125a -> 135c
125a,300i,2,1.4142135623730951,125a -> 300i
125a,315p,2,1.7320508075688772,125a -> 315p
125a,325a,2,1.7320508075688772,125a -> 325a
125a,350r,2,1.7320508075688772,125a -> 350r
125a,400i,2,2.309401076758503,125a -> 400i
125a,600i Explorer,2,2.3664319132398464,125a -> 600i Explorer
125a,600i Touring,2,2.3664319132398464,125a -> 600i Touring
125a,85X,2,2.23606797749979,125a -> 85X
125a,890 Jump,2,2.3979157616563596,125a -> 890 Jump
125a,A1 Spirit,2,2.449489742783178,125a -> A1 Spirit
125a,A2 Hercules,2,2.598076211353316,125a -> A2 Hercules
125a,Apollo Medivac,2,2.6457513110645907,125a -> Apollo Medivac
125a,Apollo Triage,2,2.6457513110645907,125a -> Apollo Triage
125a,Ares Star Fighter Inferno,2,2.0,125a -> Ares Star Fighter Inferno
125a,Ares Star Fighter Ion,2,2.0,125a -> Ares Star Fighter Ion
125a,Arrastra,2,2.756809750418044,125a -> Arrastra
125a,Arrow,2,2.0,125a -> Arrow
125a,ATLS,2,2.0,125a -> ATLS
125a,Aurora CL,2,2.0,125a -> Aurora CL
125a,Aurora ES,2,1.7320508075688772,125a -> Aurora ES
125a,Aurora LN,2,2.0,125a -> Aurora LN
125a,Aurora LX,2,2.0,125a -> Aurora LX
125a,Aurora MR,2,2.0,125a -> Aurora MR
125a,Avenger Stalker,2,2.0,125a -> Avenger Stalker
125a,Avenger Titan,2,2.0,125a -> Avenger Titan
125a,Avenger Warlock,2,2.0,125a -> Avenger Warlock
125a,Ballista,2,2.449489742783178,125a -> Ballista
125a,Blade,2,2.0,125a -> Blade
125a,Buccaneer,2,2.0,125a -> Buccaneer
125a,C1 Spirit,2,2.449489742783178,125a -> C1 Spirit
125a,C2 Hercules,2,2.449489742783178,125a -> C2 Hercules
125a,C8 Pisces,2,2.516611478423583,125a -> C8 Pisces
125a,C8R Pisces,2,2.449489742783178,125a -> C8R Pisces
125a,C8X Pisces Expedition,2,2.516611478423583,125a -> C8X Pisces Expedition
125a,Carrack,2,2.581988897471611,125a -> Carrack
125a,Caterpillar,2,2.5495097567963922,125a -> Caterpillar
125a,Centurion,2,2.449489742783178,125a -> Centurion
125a,Constellation Andromeda,2,2.345207879911715,125a -> Constellation Andromeda
125a,Constellation Aquila,2,2.5495097567963922,125a -> Constellation Aquila
125a,Constellation Phoenix,2,2.5495097567963922,125a -> Constellation Phoenix
125a,Constellation Taurus,2,2.5495097567963922,125a -> Constellation Taurus
125a,Corsair,2,2.5495097567963922,125a -> Corsair
125a,Crucible,2,2.7838821814150108,125a -> Crucible
125a,CSV-SM,2,2.0,125a -> CSV-SM
125a,Cutlass Black,2,2.309401076758503,125a -> Cutlass Black
125a,Cutlass Blue,2,2.309401076758503,125a -> Cutlass Blue
125a,Cutlass Red,2,2.23606797749979,125a -> Cutlass Red
125a,Cutlass Steel,2,2.516611478423583,125a -> Cutlass Steel
125a,Cutter,2,2.0,125a -> Cutter
125a,Cutter Rambler,2,2.0,125a -> Cutter Rambler
125a,Cutter Scout,2,2.0,125a -> Cutter Scout
125a,Cyclone,2,2.449489742783178,125a -> Cyclone
125a,Cyclone AA,2,2.449489742783178,125a -> Cyclone AA
125a,Cyclone MT,2,2.516611478423583,125a -> Cyclone MT
125a,Cyclone RC,2,2.449489742783178,125a -> Cyclone RC
125a,Cyclone RN,2,2.449489742783178,125a -> Cyclone RN
125a,Cyclone TR,2,2.516611478423583,125a -> Cyclone TR
125a,Defender,2,2.449489742783178,125a -> Defender
125a,Dragonfly,2,2.449489742783178,125a -> Dragonfly
125a,E1 Spirit,2,2.6457513110645907,125a -> E1 Spirit
125a,Eclipse,2,2.0,125a -> Eclipse
125a,Endeavor,2,2.756809750418044,125a -> Endeavor
125a,Expanse,2,2.23606797749979,125a -> Expanse
125a,F7A Hornet Mk I,2,2.0,125a -> F7A Hornet Mk I
125a,F7A Hornet Mk II,2,2.23606797749979,125a -> F7A Hornet Mk II
125a,F7C Hornet Mk I,2,2.0,125a -> F7C Hornet Mk I
125a,F7C Hornet Mk II,2,2.0,125a -> F7C Hornet Mk II
125a,F7C-M Super Hornet,2,2.449489742783178,125a -> F7C-M Super Hornet
125a,F7C-R Hornet Tracker,2,2.0,125a -> F7C-R Hornet Tracker
125a,F7C-R Hornet Tracker Mk II,2,2.0,125a -> F7C-R Hornet Tracker Mk II
125a,F7C-S Hornet Ghost,2,2.0,125a -> F7C-S Hornet Ghost
125a,F7C-S Hornet Ghost Mk II,2,2.0,125a -> F7C-S Hornet Ghost Mk II
125a,F8C Lightning,2,2.0,125a -> F8C Lightning
125a,Freelancer,2,2.5495097567963922,125a -> Freelancer
125a,Freelancer DUR,2,2.5495097567963922,125a -> Freelancer DUR
125a,Freelancer MAX,2,2.5495097567963922,125a -> Freelancer MAX
125a,Freelancer MIS,2,2.5495097567963922,125a -> Freelancer MIS
125a,Fury,2,2.0,125a -> Fury
125a,Fury LX,2,2.0,125a -> Fury LX
125a,Fury MX,2,2.0,125a -> Fury MX
125a,G12,2,2.449489742783178,125a -> G12
125a,G12a,2,2.449489742783178,125a -> G12a
125a,G12r,2,2.449489742783178,125a -> G12r
125a,Galaxy,2,2.581988897471611,125a -> Galaxy
125a,Genesis,2,2.7838821814150108,125a -> Genesis
125a,Gladiator,2,2.449489742783178,125a -> Gladiator
125a,Gladius,2,2.0,125a -> Gladius
125a,Glaive,2,2.0,125a -> Glaive
125a,Guardian,2,2.0,125a -> Guardian
125a,Guardian QI,2,2.0,125a -> Guardian QI
125a,Hammerhead,2,2.6034165586355513,125a -> Hammerhead
125a,Hawk,2,2.0,125a -> Hawk
125a,Herald,2,2.0,125a -> Herald
125a,HoverQuad,2,2.0,125a -> HoverQuad
125a,Hull A,2,2.0,125a -> Hull A
125a,Hull B,2,2.23606797749979,125a -> Hull B
125a,Hull C,2,2.5495097567963922,125a -> Hull C
125a,Hull D,2,2.756809750418044,125a -> Hull D
125a,Hull E,2,2.756809750418044,125a -> Hull E
125a,Hurricane,2,2.449489742783178,125a -> Hurricane
125a,Idris-M,2,2.815771906346718,125a -> Idris-M
125a,Idris-P,2,2.815771906346718,125a -> Idris-P
125a,Intrepid,2,2.0,125a -> Intrepid
125a,Ironclad,2,2.7688746209726918,125a -> Ironclad
125a,Ironclad Assault,2,2.7688746209726918,125a -> Ironclad Assault
125a,Javelin,2,2.8240042492885875,125a -> Javelin
125a,Khartu-Al,2,2.0,125a -> Khartu-Al
125a,Kraken,2,2.792848008753788,125a -> Kraken
125a,Kraken Privateer,2,2.792848008753788,125a -> Kraken Privateer
125a,Legionnaire,2,2.6457513110645907,125a -> Legionnaire
125a,Liberator,2,2.6457513110645907,125a -> Liberator
125a,Lynx,2,2.449489742783178,125a -> Lynx
125a,M2 Hercules,2,2.516611478423583,125a -> M2 Hercules
125a,M50,2,1.7320508075688772,125a -> M50
125a,Mantis,2,2.0,125a -> Mantis
125a,Merchantman,2,2.7838821814150108,125a -> Merchantman
125a,Mercury,2,2.309401076758503,125a -> Mercury
125a,MOLE,2,2.5495097567963922,125a -> MOLE
125a,MPUV Cargo,2,2.0,125a -> MPUV Cargo
125a,MPUV Personnel,2,2.0,125a -> MPUV Personnel
125a,MPUV Tractor,2,2.0,125a -> MPUV Tractor
125a,Mule,2,2.0,125a -> Mule
125a,Mustang Alpha,2,1.7320508075688772,125a -> Mustang Alpha
125a,Mustang Beta,2,2.0,125a -> Mustang Beta
125a,Mustang Delta,2,2.0,125a -> Mustang Delta
125a,Mustang Gamma,2,2.0,125a -> Mustang Gamma
125a,Mustang Omega,2,2.0,125a -> Mustang Omega
125a,Nautilus,2,2.7838821814150108,125a -> Nautilus
125a,Nomad,2,1.4142135623730951,125a -> Nomad
125a,Nova,2,2.516611478423583,125a -> Nova
125a,Nox,2,2.0,125a -> Nox
125a,Odyssey,2,2.23606797749979,125a -> Odyssey
125a,Orion,2,2.7774602993176543,125a -> Orion
125a,P-52 Merlin,2,2.0,125a -> P-52 Merlin
125a,P-72 Archimedes,2,2.0,125a -> P-72 Archimedes
125a,Paladin,2,2.7386127875258306,125a -> Paladin
125a,Perseus,2,2.7688746209726918,125a -> Perseus
125a,Pioneer,2,2.598076211353316,125a -> Pioneer
125a,Polaris,2,2.614064523559687,125a -> Polaris
125a,Prospector,2,2.0,125a -> Prospector
125a,Prowler,2,2.23606797749979,125a -> Prowler
125a,PTV,2,2.449489742783178,125a -> PTV
125a,Pulse,2,2.0,125a -> Pulse
125a,Pulse LX,2,2.0,125a -> Pulse LX
125a,RAFT,2,2.449489742783178,125a -> RAFT
125a,Railen,2,2.7386127875258306,125a -> Railen
125a,Ranger CV,2,2.23606797749979,125a -> Ranger CV
125a,Ranger RC,2,2.23606797749979,125a -> Ranger RC
125a,Ranger TR,2,2.23606797749979,125a -> Ranger TR
125a,Razor,2,2.0,125a -> Razor
125a,Razor EX,2,2.0,125a -> Razor EX
125a,Razor LX,2,2.0,125a -> Razor LX
125a,Reclaimer,2,2.569046515733026,125a -> Reclaimer
125a,Redeemer,2,2.5495097567963922,125a -> Redeemer
125a,Reliant Kore,2,2.23606797749979,125a -> Reliant Kore
125a,Reliant Mako,2,2.449489742783178,125a -> Reliant Mako
125a,Reliant Sen,2,2.449489742783178,125a -> Reliant Sen
125a,Reliant Tana,2,2.449489742783178,125a -> Reliant Tana
125a,Retaliator,2,2.591193878173865,125a -> Retaliator
125a,ROC,2,1.7320508075688772,125a -> ROC
125a,ROC-DS,2,2.449489742783178,125a -> ROC-DS
125a,Sabre,2,2.0,125a -> Sabre
125a,Sabre Firebird,2,2.0,125a -> Sabre Firebird
125a,Sabre Peregrine,2,2.0,125a -> Sabre Peregrine
125a,Sabre Raven,2,2.0,125a -> Sabre Raven
125a,San'tok.yāi,2,2.0,125a -> San'tok.yāi
125a,Scorpius,2,2.449489742783178,125a -> Scorpius
125a,Scorpius Antares,2,2.449489742783178,125a -> Scorpius Antares
125a,Scythe,2,2.0,125a -> Scythe
125a,Spartan,2,2.0,125a -> Spartan
125a,SRV,2,2.0,125a -> SRV
125a,Starfarer,2,2.591193878173865,125a -> Starfarer
125a,Starfarer Gemini,2,2.581988897471611,125a -> Starfarer Gemini
125a,Starlancer MAX,2,2.5495097567963922,125a -> Starlancer MAX
125a,Starlancer TAC,2,2.7688746209726918,125a -> Starlancer TAC
125a,Storm,2,2.0,125a -> Storm
125a,Storm AA,2,2.0,125a -> Storm AA
125a,STV,2,2.449489742783178,125a -> STV
125a,Talon,2,2.0,125a -> Talon
125a,Ursa,2,2.516611478423583,125a -> Ursa
125a,Talon Shrike,2,1.7320508075688772,125a -> Talon Shrike
125a,Terrapin,2,2.0,125a -> Terrapin
125a,Terrapin Medic,2,2.0,125a -> Terrapin Medic
125a,Ursa,2,2.516611478423583,125a -> Ursa
125a,Ursa Medivac,2,2.516611478423583,125a -> Ursa Medivac
125a,Valkyrie,2,2.569046515733026,125a -> Valkyrie
125a,Vanguard Harbinger,2,2.449489742783178,125a -> Vanguard Harbinger
125a,Vanguard Hoplite,2,2.449489742783178,125a -> Vanguard Hoplite
125a,Vanguard Sentinel,2,2.449489742783178,125a -> Vanguard Sentinel
125a,Vanguard Warden,2,2.449489742783178,125a -> Vanguard Warden
125a,Vulcan,2,2.516611478423583,125a -> Vulcan
125a,Vulture,2,2.0,125a -> Vulture
125a,X1,2,1.7320508075688772,125a -> X1
125a,X1 Force,2,1.7320508075688772,125a -> X1 Force
125a,X1 Velocity,2,1.7320508075688772,125a -> X1 Velocity
125a,Zeus CL Mk II,2,2.516611478423583,125a -> Zeus CL Mk II
125a,Zeus ES Mk II,2,2.516611478423583,125a -> Zeus ES Mk II
135c,100i,2,1.0,135c -> 100i
135c,125a,2,1.0,135c -> 125a
135c,135c,1,0.0,135c
135c,300i,2,1.4142135623730951,135c -> 300i
135c,315p,2,1.7320508075688772,135c -> 315p
135c,325a,2,1.7320508075688772,135c -> 325a
135c,350r,2,1.7320508075688772,135c -> 350r
135c,400i,2,2.309401076758503,135c -> 400i
135c,600i Explorer,2,2.3664319132398464,135c -> 600i Explorer
135c,600i Touring,2,2.3664319132398464,135c -> 600i Touring
135c,85X,2,2.23606797749979,135c -> 85X
135c,890 Jump,2,2.3979157616563596,135c -> 890 Jump
135c,A1 Spirit,2,2.449489742783178,135c -> A1 Spirit
135c,A2 Hercules,2,2.598076211353316,135c -> A2 Hercules
135c,Apollo Medivac,2,2.6457513110645907,135c -> Apollo Medivac
135c,Apollo Triage,2,2.6457513110645907,135c -> Apollo Triage
135c,Ares Star Fighter Inferno,2,2.0,135c -> Ares Star Fighter Inferno
135c,Ares Star Fighter Ion,2,2.0,135c -> Ares Star Fighter Ion
135c,Arrastra,2,2.756809750418044,135c -> Arrastra
135c,Arrow,2,2.0,135c -> Arrow
135c,ATLS,2,2.0,135c -> ATLS
135c,Aurora CL,2,2.0,135c -> Aurora CL
135c,Aurora ES,2,1.7320508075688772,135c -> Aurora ES
135c,Aurora LN,2,2.0,135c -> Aurora LN
135c,Aurora LX,2,2.0,135c -> Aurora LX
135c,Aurora MR,2,2.0,135c -> Aurora MR
135c,Avenger Stalker,2,2.0,135c -> Avenger Stalker
135c,Avenger Titan,2,2.0,135c -> Avenger Titan
135c,Avenger Warlock,2,2.0,135c -> Avenger Warlock
135c,Ballista,2,2.449489742783178,135c -> Ballista
135c,Blade,2,2.0,135c -> Blade
135c,Buccaneer,2,2.0,135c -> Buccaneer
135c,C1 Spirit,2,2.449489742783178,135c -> C1 Spirit
135c,C2 Hercules,2,2.449489742783178,135c -> C2 Hercules
135c,C8 Pisces,2,2.516611478423583,135c -> C8 Pisces
135c,C8R Pisces,2,2.449489742783178,135c -> C8R Pisces
135c,C8X Pisces Expedition,2,2.516611478423583,135c -> C8X Pisces Expedition
135c,Carrack,2,2.581988897471611,135c -> Carrack
135c,Caterpillar,2,2.5495097567963922,135c -> Caterpillar
135c,Centurion,2,2.449489742783178,135c -> Centurion
135c,Constellation Andromeda,2,2.345207879911715,135c -> Constellation Andromeda
135c,Constellation Aquila,2,2.5495097567963922,135c -> Constellation Aquila
135c,Constellation Phoenix,2,2.5495097567963922,135c -> Constellation Phoenix
135c,Constellation Taurus,2,2.5495097567963922,135c -> Constellation Taurus
135c,Corsair,2,2.5495097567963922,135c -> Corsair
135c,Crucible,2,2.7838821814150108,135c -> Crucible
135c,CSV-SM,2,2.0,135c -> CSV-SM
135c,Cutlass Black,2,2.309401076758503,135c -> Cutlass Black
135c,Cutlass Blue,2,2.309401076758503,135c -> Cutlass Blue
135c,Cutlass Red,2,2.23606797749979,135c -> Cutlass Red
135c,Cutlass Steel,2,2.516611478423583,135c -> Cutlass Steel
135c,Cutter,2,1.7320508075688772,135c -> Cutter
135c,Cutter Rambler,2,2.0,135c -> Cutter Rambler
135c,Cutter Scout,2,2.0,135c -> Cutter Scout
135c,Cyclone,2,2.449489742783178,135c -> Cyclone
135c,Cyclone AA,2,2.449489742783178,135c -> Cyclone AA
135c,Cyclone MT,2,2.516611478423583,135c -> Cyclone MT
135c,Cyclone RC,2,2.449489742783178,135c -> Cyclone RC
135c,Cyclone RN,2,2.449489742783178,135c -> Cyclone RN
135c,Cyclone TR,2,2.516611478423583,135c -> Cyclone TR
135c,Defender,2,2.449489742783178,135c -> Defender
135c,Dragonfly,2,2.449489742783178,135c -> Dragonfly
135c,E1 Spirit,2,2.6457513110645907,135c -> E1 Spirit
135c,Eclipse,2,2.0,135c -> Eclipse
135c,Endeavor,2,2.756809750418044,135c -> Endeavor
135c,Expanse,2,2.23606797749979,135c -> Expanse
135c,F7A Hornet Mk I,2,2.0,135c -> F7A Hornet Mk I
135c,F7A Hornet Mk II,2,2.23606797749979,135c -> F7A Hornet Mk II
135c,F7C Hornet Mk I,2,2.0,135c -> F7C Hornet Mk I
