start_ship                , end_ship                  , total_distance    , path
100i                      , Hull E                    , 5.6               , 100i                        -> Hull E
100i                      , Hurricane                 , 4.5               , 100i                        -> Hurricane
100i                      , Idris-M                   , 5.928571428571429 , 100i                        -> Idris-M
100i                      , Idris-P                   , 5.928571428571429 , 100i                        -> Idris-P
100i                      , Intrepid                  , 3.5               , 100i                        -> Intrepid
100i                      , Ironclad                  , 5.666666666666667 , 100i                        -> Ironclad
100i                      , Ironclad Assault          , 5.666666666666667 , 100i                        -> Ironclad Assault
100i                      , Javelin                   , 5.975             , 100i                        -> Javelin
100i                      , Khartu-Al                 , 3.5               , 100i                        -> Khartu-Al
100i                      , Kraken                    , 5.8               , 100i                        -> Kraken
100i                      , Kraken Privateer          , 5.8               , 100i                        -> Kraken Privateer
100i                      , Legionnaire               , 5.0               , 100i                        -> Legionnaire
100i                      , Liberator                 , 5.0               , 100i                        -> Liberator
100i                      , Lynx                      , 4.5               , 100i                        -> Lynx
100i                      , M2 Hercules               , 4.833333333333333 , 100i                        -> M2 Hercules
100i                      , M50                       , 2.0               , 100i                        -> M50
100i                      , Mantis                    , 3.5               , 100i                        -> Mantis
100i                      , Merchantman               , 5.75              , 100i                        -> Merchantman
100i                      , Mercury                   , 4.833333333333333 , 100i                        -> Mercury
100i                      , MOLE                      , 5.0               , 100i                        -> MOLE
100i                      , MPUV Cargo                , 3.5               , 100i                        -> MPUV Cargo
100i                      , MPUV Personnel            , 3.5               , 100i                        -> MPUV Personnel
100i                      , MPUV Tractor              , 3.5               , 100i                        -> MPUV Tractor
100i                      , Mule                      , 3.5               , 100i                        -> Mule
100i                      , Mustang Alpha             , 2.5               , 100i                        -> Mustang Alpha
100i                      , Mustang Beta              , 3.5               , 100i                        -> Mustang Beta
100i                      , Mustang Delta             , 3.5               , 100i                        -> Mustang Delta
100i                      , Mustang Gamma             , 3.5               , 100i                        -> Mustang Gamma
100i                      , Mustang Omega             , 3.5               , 100i                        -> Mustang Omega
100i                      , Nautilus                  , 5.75              , 100i                        -> Nautilus
100i                      , Nomad                     , 2.5               , 100i                        -> Nomad
100i                      , Nova                      , 4.833333333333333 , 100i                        -> Nova
100i                      , Nox                       , 3.5               , 100i                        -> Nox
100i                      , Odyssey                   , 4.0               , 100i                        -> Odyssey
100i                      , Orion                     , 5.714285714285714 , 100i                        -> Orion
100i                      , P-52 Merlin               , 3.5               , 100i                        -> P-52 Merlin
100i                      , P-72 Archimedes           , 3.5               , 100i                        -> P-72 Archimedes
100i                      , Paladin                   , 5.5               , 100i                        -> Paladin
100i                      , Perseus                   , 5.666666666666667 , 100i                        -> Perseus
100i                      , Pioneer                   , 4.75              , 100i                        -> Pioneer
100i                      , Polaris                   , 5.333333333333333 , 100i                        -> Polaris
100i                      , Prospector                , 3.5               , 100i                        -> Prospector
100i                      , Prowler                   , 4.5               , 100i                        -> Prowler
100i                      , PTV                       , 4.5               , 100i                        -> PTV
100i                      , Pulse                     , 3.5               , 100i                        -> Pulse
100i                      , Pulse LX                  , 3.5               , 100i                        -> Pulse LX
100i                      , RAFT                      , 4.5               , 100i                        -> RAFT
100i                      , Railen                    , 5.5               , 100i                        -> Railen
100i                      , Ranger CV                 , 4.0               , 100i                        -> Ranger CV
100i                      , Ranger RC                 , 4.0               , 100i                        -> Ranger RC
100i                      , Ranger TR                 , 4.0               , 100i                        -> Ranger TR
100i                      , Razor                     , 3.5               , 100i                        -> Razor
100i                      , Razor EX                  , 3.5               , 100i                        -> Razor EX
100i                      , Razor LX                  , 3.5               , 100i                        -> Razor LX
100i                      , Reclaimer                 , 5.1               , 100i                        -> Reclaimer
100i                      , Redeemer                  , 5.0               , 100i                        -> Redeemer
100i                      , Reliant Kore              , 3.5               , 100i                        -> Reliant Kore
100i                      , Reliant Mako              , 4.5               , 100i                        -> Reliant Mako
100i                      , Reliant Sen               , 4.5               , 100i                        -> Reliant Sen
100i                      , Reliant Tana              , 4.5               , 100i                        -> Reliant Tana
100i                      , Retaliator                , 5.214285714285714 , 100i                        -> Retaliator
100i                      , ROC                       , 3.5               , 100i                        -> ROC
100i                      , ROC-DS                    , 4.5               , 100i                        -> ROC-DS
100i                      , Sabre                     , 3.5               , 100i                        -> Sabre
100i                      , Sabre Firebird            , 3.5               , 100i                        -> Sabre Firebird
100i                      , Sabre Peregrine           , 3.5               , 100i                        -> Sabre Peregrine
100i                      , Sabre Raven               , 3.5               , 100i                        -> Sabre Raven
100i                      , San'tok.yāi               , 3.5               , 100i                        -> San'tok.yāi
100i                      , Scorpius                  , 4.5               , 100i                        -> Scorpius
100i                      , Scorpius Antares          , 4.5               , 100i                        -> Scorpius Antares
100i                      , Scythe                    , 3.5               , 100i                        -> Scythe
100i                      , Spartan                   , 3.5               , 100i                        -> Spartan
100i                      , SRV                       , 3.5               , 100i                        -> SRV
100i                      , Starfarer                 , 5.214285714285714 , 100i                        -> Starfarer
100i                      , Starfarer Gemini          , 5.166666666666667 , 100i                        -> Starfarer Gemini
100i                      , Starlancer MAX            , 5.0               , 100i                        -> Starlancer MAX
100i                      , Starlancer TAC            , 5.666666666666667 , 100i                        -> Starlancer TAC
100i                      , Storm                     , 3.5               , 100i                        -> Storm
100i                      , Storm AA                  , 3.5               , 100i                        -> Storm AA
100i                      , STV                       , 4.5               , 100i                        -> STV
100i                      , Talon                     , 3.5               , 100i                        -> Talon
100i                      , Ursa                      , 4.833333333333333 , 100i                        -> Ursa
100i                      , Talon Shrike              , 3.5               , 100i                        -> Talon Shrike
100i                      , Terrapin                  , 3.5               , 100i                        -> Terrapin
100i                      , Terrapin Medic            , 3.5               , 100i                        -> Terrapin Medic
100i                      , Ursa Medivac              , 4.833333333333333 , 100i                        -> Ursa Medivac
100i                      , Valkyrie                  , 5.1               , 100i                        -> Valkyrie
100i                      , Vanguard Harbinger        , 4.5               , 100i                        -> Vanguard Harbinger
100i                      , Vanguard Hoplite          , 4.5               , 100i                        -> Vanguard Hoplite
100i                      , Vanguard Sentinel         , 4.5               , 100i                        -> Vanguard Sentinel
100i                      , Vanguard Warden           , 4.5               , 100i                        -> Vanguard Warden
100i                      , Vulcan                    , 4.333333333333333 , 100i                        -> Vulcan
100i                      , Vulture                   , 3.5               , 100i                        -> Vulture
100i                      , X1                        , 2.0               , 100i                        -> X1
100i                      , X1 Force                  , 2.0               , 100i                        -> X1 Force
100i                      , X1 Velocity               , 2.0               , 100i                        -> X1 Velocity
100i                      , Zeus CL Mk II             , 4.833333333333333 , 100i                        -> Zeus CL Mk II
100i                      , Zeus ES Mk II             , 4.833333333333333 , 100i                        -> Zeus ES Mk II
100i                      , Zeus MR Mk II             , 5.333333333333333 , 100i                        -> Zeus MR Mk II
125a                      , 135c                      , 1.0               , 125a                        -> 135c
125a                      , 300i                      , 1.0               , 125a                        -> 300i
125a                      , 315p                      , 2.0               , 125a                        -> 315p
125a                      , 325a                      , 2.0               , 125a                        -> 325a
125a                      , 350r                      , 2.0               , 125a                        -> 350r
125a                      , 400i                      , 3.333333333333333 , 125a                        -> 400i
125a                      , 600i Explorer             , 3.6               , 125a                        -> 600i Explorer
125a                      , 600i Touring              , 3.6               , 125a                        -> 600i Touring
125a                      , 85X                       , 3.0               , 125a                        -> 85X
125a                      , 890 Jump                  , 3.75              , 125a                        -> 890 Jump
125a                      , A1 Spirit                 , 4.5               , 125a                        -> A1 Spirit
125a                      , A2 Hercules               , 5.25              , 125a                        -> A2 Hercules
125a                      , Apollo Medivac            , 5.0               , 125a                        -> Apollo Medivac
125a                      , Apollo Triage             , 5.0               , 125a                        -> Apollo Triage
125a                      , Ares Star Fighter Inferno , 3.5               , 125a                        -> Ares Star Fighter Inferno
125a                      , Ares Star Fighter Ion     , 3.5               , 125a                        -> Ares Star Fighter Ion
125a                      , Arrastra                  , 5.6               , 125a                        -> Arrastra
125a                      , Arrow                     , 3.5               , 125a                        -> Arrow
125a                      , ATLS                      , 3.5               , 125a                        -> ATLS
125a                      , Aurora CL                 , 3.5               , 125a                        -> Aurora CL
125a                      , Aurora ES                 , 2.5               , 125a                        -> Aurora ES
125a                      , Aurora LN                 , 3.5               , 125a                        -> Aurora LN
125a                      , Aurora LX                 , 3.5               , 125a                        -> Aurora LX
125a                      , Aurora MR                 , 3.5               , 125a                        -> Aurora MR
125a                      , Avenger Stalker           , 3.5               , 125a                        -> Avenger Stalker
125a                      , Avenger Titan             , 3.5               , 125a                        -> Avenger Titan
125a                      , Avenger Warlock           , 3.5               , 125a                        -> Avenger Warlock
125a                      , Ballista                  , 4.5               , 125a                        -> Ballista
125a                      , Blade                     , 3.5               , 125a                        -> Blade
125a                      , Buccaneer                 , 3.5               , 125a                        -> Buccaneer
125a                      , C1 Spirit                 , 4.5               , 125a                        -> C1 Spirit
125a                      , C2 Hercules               , 4.5               , 125a                        -> C2 Hercules
125a                      , C8 Pisces                 , 4.833333333333333 , 125a                        -> C8 Pisces
125a                      , C8R Pisces                , 4.5               , 125a                        -> C8R Pisces
125a                      , C8X Pisces Expedition     , 4.833333333333333 , 125a                        -> C8X Pisces Expedition
125a                      , Carrack                   , 5.166666666666667 , 125a                        -> Carrack
125a                      , Caterpillar               , 5.0               , 125a                        -> Caterpillar
125a                      , Centurion                 , 4.5               , 125a                        -> Centurion
125a                      , Constellation Andromeda   , 4.0               , 125a                        -> Constellation Andromeda
125a                      , Constellation Aquila      , 5.0               , 125a                        -> Constellation Aquila
125a                      , Constellation Phoenix     , 5.0               , 125a                        -> Constellation Phoenix
125a                      , Constellation Taurus      , 5.0               , 125a                        -> Constellation Taurus
125a                      , Corsair                   , 5.0               , 125a                        -> Corsair
125a                      , Crucible                  , 5.75              , 125a                        -> Crucible
125a                      , CSV-SM                    , 3.5               , 125a                        -> CSV-SM
125a                      , Cutlass Black             , 3.833333333333333 , 125a                        -> Cutlass Black
125a                      , Cutlass Blue              , 4.833333333333333 , 125a                        -> Cutlass Blue
125a                      , Cutlass Red               , 4.5               , 125a                        -> Cutlass Red
125a                      , Cutlass Steel             , 4.833333333333333 , 125a                        -> Cutlass Steel
125a                      , Cutter                    , 3.5               , 125a                        -> Cutter
125a                      , Cutter Rambler            , 3.5               , 125a                        -> Cutter Rambler
125a                      , Cutter Scout              , 3.5               , 125a                        -> Cutter Scout
125a                      , Cyclone                   , 4.5               , 125a                        -> Cyclone
125a                      , Cyclone AA                , 4.5               , 125a                        -> Cyclone AA
125a                      , Cyclone MT                , 4.833333333333333 , 125a                        -> Cyclone MT
125a                      , Cyclone RC                , 4.5               , 125a                        -> Cyclone RC
125a                      , Cyclone RN                , 4.5               , 125a                        -> Cyclone RN
125a                      , Cyclone TR                , 4.833333333333333 , 125a                        -> Cyclone TR
125a                      , Defender                  , 4.5               , 125a                        -> Defender
125a                      , Dragonfly                 , 4.5               , 125a                        -> Dragonfly
125a                      , E1 Spirit                 , 5.0               , 125a                        -> E1 Spirit
125a                      , Eclipse                   , 3.5               , 125a                        -> Eclipse
125a                      , Endeavor                  , 5.6               , 125a                        -> Endeavor
125a                      , Expanse                   , 4.0               , 125a                        -> Expanse
125a                      , F7A Hornet Mk I           , 3.5               , 125a                        -> F7A Hornet Mk I
125a                      , F7A Hornet Mk II          , 4.0               , 125a                        -> F7A Hornet Mk II
125a                      , F7C Hornet Mk I           , 3.5               , 125a                        -> F7C Hornet Mk I
125a                      , F7C Hornet Mk II          , 3.5               , 125a                        -> F7C Hornet Mk II
125a                      , F7C-M Super Hornet        , 4.5               , 125a                        -> F7C-M Super Hornet
125a                      , F7C-R Hornet Tracker      , 3.5               , 125a                        -> F7C-R Hornet Tracker
125a                      , F7C-R Hornet Tracker Mk II, 3.5               , 125a                        -> F7C-R Hornet Tracker Mk II
125a                      , F7C-S Hornet Ghost        , 3.5               , 125a                        -> F7C-S Hornet Ghost
125a                      , F7C-S Hornet Ghost Mk II  , 3.5               , 125a                        -> F7C-S Hornet Ghost Mk II
125a                      , F8C Lightning             , 3.5               , 125a                        -> F8C Lightning
125a                      , Freelancer                , 5.0               , 125a                        -> Freelancer
125a                      , Freelancer DUR            , 5.0               , 125a                        -> Freelancer DUR
125a                      , Freelancer MAX            , 5.0               , 125a                        -> Freelancer MAX
125a                      , Freelancer MIS            , 5.0               , 125a                        -> Freelancer MIS
125a                      , Fury                      , 3.5               , 125a                        -> Fury
125a                      , Fury LX                   , 3.5               , 125a                        -> Fury LX
125a                      , Fury MX                   , 3.5               , 125a                        -> Fury MX
125a                      , G12                       , 3.5               , 125a                        -> G12
125a                      , G12a                      , 3.5               , 125a                        -> G12a
125a                      , G12r                      , 3.5               , 125a                        -> G12r
125a                      , Galaxy                    , 4.666666666666667 , 125a                        -> Galaxy
125a                      , Genesis                   , 5.75              , 125a                        -> Genesis
125a                      , Gladiator                 , 4.5               , 125a                        -> Gladiator
125a                      , Gladius                   , 3.5               , 125a                        -> Gladius
125a                      , Glaive                    , 3.5               , 125a                        -> Glaive
125a                      , Guardian                  , 3.5               , 125a                        -> Guardian
125a                      , Guardian QI               , 3.5               , 125a                        -> Guardian QI
125a                      , Hammerhead                , 5.277777777777778 , 125a                        -> Hammerhead
125a                      , Hawk                      , 3.5               , 125a                        -> Hawk
125a                      , Herald                    , 3.5               , 125a                        -> Herald
125a                      , HoverQuad                 , 3.5               , 125a                        -> HoverQuad
125a                      , Hull A                    , 3.5               , 125a                        -> Hull A
125a                      , Hull B                    , 4.0               , 125a                        -> Hull B
125a                      , Hull C                    , 5.0               , 125a                        -> Hull C
125a                      , Hull D                    , 5.6               , 125a                        -> Hull D
125a                      , Hull E                    , 5.6               , 125a                        -> Hull E
125a                      , Hurricane                 , 4.5               , 125a                        -> Hurricane
125a                      , Idris-M                   , 5.928571428571429 , 125a                        -> Idris-M
125a                      , Idris-P                   , 5.928571428571429 , 125a                        -> Idris-P
125a                      , Intrepid                  , 3.5               , 125a                        -> Intrepid
125a                      , Ironclad                  , 5.666666666666667 , 125a                        -> Ironclad
125a                      , Ironclad Assault          , 5.666666666666667 , 125a                        -> Ironclad Assault
125a                      , Javelin                   , 5.975             , 125a                        -> Javelin
125a                      , Khartu-Al                 , 3.5               , 125a                        -> Khartu-Al
125a                      , Kraken                    , 5.8               , 125a                        -> Kraken
125a                      , Kraken Privateer          , 5.8               , 125a                        -> Kraken Privateer
125a                      , Legionnaire               , 5.0               , 125a                        -> Legionnaire
125a                      , Liberator                 , 5.0               , 125a                        -> Liberator
125a                      , Lynx                      , 4.5               , 125a                        -> Lynx
125a                      , M2 Hercules               , 4.833333333333333 , 125a                        -> M2 Hercules
125a                      , M50                       , 2.0               , 125a                        -> M50
125a                      , Mantis                    , 3.5               , 125a                        -> Mantis
125a                      , Merchantman               , 5.75              , 125a                        -> Merchantman
125a                      , Mercury                   , 4.833333333333333 , 125a                        -> Mercury
125a                      , MOLE                      , 5.0               , 125a                        -> MOLE
125a                      , MPUV Cargo                , 3.5               , 125a                        -> MPUV Cargo
125a                      , MPUV Personnel            , 3.5               , 125a                        -> MPUV Personnel
125a                      , MPUV Tractor              , 3.5               , 125a                        -> MPUV Tractor
125a                      , Mule                      , 3.5               , 125a                        -> Mule
125a                      , Mustang Alpha             , 2.5               , 125a                        -> Mustang Alpha
125a                      , Mustang Beta              , 3.5               , 125a                        -> Mustang Beta
125a                      , Mustang Delta             , 3.5               , 125a                        -> Mustang Delta
125a                      , Mustang Gamma             , 3.5               , 125a                        -> Mustang Gamma
125a                      , Mustang Omega             , 3.5               , 125a                        -> Mustang Omega
125a                      , Nautilus                  , 5.75              , 125a                        -> Nautilus
125a                      , Nomad                     , 2.5               , 125a                        -> Nomad
125a                      , Nova                      , 4.833333333333333 , 125a                        -> Nova
125a                      , Nox                       , 3.5               , 125a                        -> Nox
125a                      , Odyssey                   , 4.0               , 125a                        -> Odyssey
125a                      , Orion                     , 5.714285714285714 , 125a                        -> Orion
125a                      , P-52 Merlin               , 3.5               , 125a                        -> P-52 Merlin
125a                      , P-72 Archimedes           , 3.5               , 125a                        -> P-72 Archimedes
125a                      , Paladin                   , 5.5               , 125a                        -> Paladin
125a                      , Perseus                   , 5.666666666666667 , 125a                        -> Perseus
125a                      , Pioneer                   , 4.75              , 125a                        -> Pioneer
125a                      , Polaris                   , 5.333333333333333 , 125a                        -> Polaris
125a                      , Prospector                , 3.5               , 125a                        -> Prospector
125a                      , Prowler                   , 4.5               , 125a                        -> Prowler
125a                      , PTV                       , 4.5               , 125a                        -> PTV
125a                      , Pulse                     , 3.5               , 125a                        -> Pulse
125a                      , Pulse LX                  , 3.5               , 125a                        -> Pulse LX
125a                      , RAFT                      , 4.5               , 125a                        -> RAFT
125a                      , Railen                    , 5.5               , 125a                        -> Railen
125a                      , Ranger CV                 , 4.0               , 125a                        -> Ranger CV
125a                      , Ranger RC                 , 4.0               , 125a                        -> Ranger RC
125a                      , Ranger TR                 , 4.0               , 125a                        -> Ranger TR
125a                      , Razor                     , 3.5               , 125a                        -> Razor
125a                      , Razor EX                  , 3.5               , 125a                        -> Razor EX
125a                      , Razor LX                  , 3.5               , 125a                        -> Razor LX
125a                      , Reclaimer                 , 5.1               , 125a                        -> Reclaimer
125a                      , Redeemer                  , 5.0               , 125a                        -> Redeemer
125a                      , Reliant Kore              , 3.5               , 125a                        -> Reliant Kore
125a                      , Reliant Mako              , 4.5               , 125a                        -> Reliant Mako
125a                      , Reliant Sen               , 4.5               , 125a                        -> Reliant Sen
125a                      , Reliant Tana              , 4.5               , 125a                        -> Reliant Tana
125a                      , Retaliator                , 5.214285714285714 , 125a                        -> Retaliator
125a                      , ROC                       , 3.5               , 125a                        -> ROC
125a                      , ROC-DS                    , 4.5               , 125a                        -> ROC-DS
125a                      , Sabre                     , 3.5               , 125a                        -> Sabre
125a                      , Sabre Firebird            , 3.5               , 125a                        -> Sabre Firebird
125a                      , Sabre Peregrine           , 3.5               , 125a                        -> Sabre Peregrine
125a                      , Sabre Raven               , 3.5               , 125a                        -> Sabre Raven
125a                      , San'tok.yāi               , 3.5               , 125a                        -> San'tok.yāi
125a                      , Scorpius                  , 4.5               , 125a                        -> Scorpius
125a                      , Scorpius Antares          , 4.5               , 125a                        -> Scorpius Antares
125a                      , Scythe                    , 3.5               , 125a                        -> Scythe
125a                      , Spartan                   , 3.5               , 125a                        -> Spartan
125a                      , SRV                       , 3.5               , 125a                        -> SRV
125a                      , Starfarer                 , 5.214285714285714 , 125a                        -> Starfarer
125a                      , Starfarer Gemini          , 5.166666666666667 , 125a                        -> Starfarer Gemini
125a                      , Starlancer MAX            , 5.0               , 125a                        -> Starlancer MAX
125a                      , Starlancer TAC            , 5.666666666666667 , 125a                        -> Starlancer TAC
125a                      , Storm                     , 3.5               , 125a                        -> Storm
125a                      , Storm AA                  , 3.5               , 125a                        -> Storm AA
125a                      , STV                       , 4.5               , 125a                        -> STV
125a                      , Talon                     , 3.5               , 125a                        -> Talon
125a                      , Ursa                      , 4.833333333333333 , 125a                        -> Ursa
125a                      , Talon Shrike              , 3.5               , 125a                        -> Talon Shrike
125a                      , Terrapin                  , 3.5               , 125a                        -> Terrapin
