vaisseau_depart,vaisseau_arrivee,poids
125a                      ,Constellation Andromeda   ,2
125a                      ,Constellation Aquila      ,3
125a                      ,Constellation Phoenix     ,3
125a                      ,Constellation Taurus      ,3
125a                      ,Corsair                   ,3
125a                      ,Crucible                  ,4
125a                      ,CSV-SM                    ,3
125a                      ,Cutlass Black             ,2
125a                      ,Cutlass Blue              ,3
125a                      ,Cutlass Red               ,3
125a                      ,Cutlass Steel             ,3
125a                      ,Cutter                    ,3
125a                      ,Cutter Rambler            ,3
125a                      ,Cutter Scout              ,3
125a                      ,Cyclone                   ,3
125a                      ,Cyclone AA                ,3
125a                      ,Cyclone MT                ,3
125a                      ,Cyclone RC                ,3
125a                      ,Cyclone RN                ,3
125a                      ,Cyclone TR                ,3
125a                      ,Defender                  ,3
125a                      ,Dragonfly                 ,3
125a                      ,E1 Spirit                 ,4
125a                      ,Eclipse                   ,3
125a                      ,Endeavor                  ,4
125a                      ,Expanse                   ,4
125a                      ,F7A Hornet Mk I           ,3
125a                      ,F7A Hornet Mk II          ,4
125a                      ,F7C Hornet Mk I           ,3
125a                      ,F7C Hornet Mk II          ,3
125a                      ,F7C-M Super Hornet        ,3
125a                      ,F7C-R Hornet Tracker      ,3
125a                      ,F7C-R Hornet Tracker Mk II,3
125a                      ,F7C-S Hornet Ghost        ,3
125a                      ,F7C-S Hornet Ghost Mk II  ,3
125a                      ,F8C Lightning             ,3
125a                      ,Freelancer                ,3
125a                      ,Freelancer DUR            ,3
125a                      ,Freelancer MAX            ,3
125a                      ,Freelancer MIS            ,3
125a                      ,Fury                      ,3
125a                      ,Fury LX                   ,3
125a                      ,Fury MX                   ,3
125a                      ,G12                       ,3
125a                      ,G12a                      ,3
125a                      ,G12r                      ,3
125a                      ,Galaxy                    ,3
125a                      ,Genesis                   ,4
125a                      ,Gladiator                 ,3
125a                      ,Gladius                   ,3
125a                      ,Glaive                    ,3
125a                      ,Guardian                  ,3
125a                      ,Guardian QI               ,3
125a                      ,Hammerhead                ,3
125a                      ,Hawk                      ,3
125a                      ,Herald                    ,3
125a                      ,HoverQuad                 ,3
125a                      ,Hull A                    ,3
125a                      ,Hull B                    ,4
125a                      ,Hull C                    ,3
125a                      ,Hull D                    ,4
125a                      ,Hull E                    ,4
125a                      ,Hurricane                 ,3
125a                      ,Idris-M                   ,4
125a                      ,Idris-P                   ,4
125a                      ,Intrepid                  ,3
125a                      ,Ironclad                  ,4
125a                      ,Ironclad Assault          ,4
125a                      ,Javelin                   ,4
125a                      ,Khartu-Al                 ,3
125a                      ,Kraken                    ,4
125a                      ,Kraken Privateer          ,4
125a                      ,Legionnaire               ,4
125a                      ,Liberator                 ,4
125a                      ,Lynx                      ,3
125a                      ,M2 Hercules               ,3
125a                      ,M50                       ,2
125a                      ,Mantis                    ,3
125a                      ,Merchantman               ,4
125a                      ,Mercury                   ,3
125a                      ,MOLE                      ,3
125a                      ,MPUV Cargo                ,3
125a                      ,MPUV Personnel            ,3
125a                      ,MPUV Tractor              ,3
125a                      ,Mule                      ,3
125a                      ,Mustang Alpha             ,2
125a                      ,Mustang Beta              ,3
125a                      ,Mustang Delta             ,3
125a                      ,Mustang Gamma             ,3
125a                      ,Mustang Omega             ,3
125a                      ,Nautilus                  ,4
125a                      ,Nomad                     ,2
125a                      ,Nova                      ,3
125a                      ,Nox                       ,3
125a                      ,Odyssey                   ,4
125a                      ,Orion                     ,4
125a                      ,P-52 Merlin               ,3
125a                      ,P-72 Archimedes           ,3
125a                      ,Paladin                   ,4
125a                      ,Perseus                   ,4
125a                      ,Pioneer                   ,3
125a                      ,Polaris                   ,3
125a                      ,Prospector                ,3
125a                      ,Prowler                   ,3
125a                      ,PTV                       ,3
125a                      ,Pulse                     ,3
125a                      ,Pulse LX                  ,3
125a                      ,RAFT                      ,3
125a                      ,Railen                    ,4
125a                      ,Ranger CV                 ,4
125a                      ,Ranger RC                 ,4
125a                      ,Ranger TR                 ,4
125a                      ,Razor                     ,3
125a                      ,Razor EX                  ,3
125a                      ,Razor LX                  ,3
125a                      ,Reclaimer                 ,3
125a                      ,Redeemer                  ,3
125a                      ,Reliant Kore              ,2
125a                      ,Reliant Mako              ,3
125a                      ,Reliant Sen               ,3
125a                      ,Reliant Tana              ,3
125a                      ,Retaliator                ,3
125a                      ,ROC                       ,3
125a                      ,ROC-DS                    ,3
125a                      ,Sabre                     ,3
125a                      ,Sabre Firebird            ,3
125a                      ,Sabre Peregrine           ,3
125a                      ,Sabre Raven               ,3
125a                      ,San'tok.yāi               ,3
125a                      ,Scorpius                  ,3
125a                      ,Scorpius Antares          ,3
125a                      ,Scythe                    ,3
125a                      ,Spartan                   ,3
125a                      ,SRV                       ,3
125a                      ,Starfarer                 ,3
125a                      ,Starfarer Gemini          ,3
125a                      ,Starlancer MAX            ,3
125a                      ,Starlancer TAC            ,4
125a                      ,Storm                     ,3
125a                      ,Storm AA                  ,3
125a                      ,STV                       ,3
125a                      ,Talon                     ,3
125a                      ,Ursa                      ,3
125a                      ,Talon Shrike              ,3
125a                      ,Terrapin                  ,3
125a                      ,Terrapin Medic            ,3
125a                      ,Ursa                      ,3
125a                      ,Ursa Medivac              ,3
125a                      ,Valkyrie                  ,3
125a                      ,Vanguard Harbinger        ,3
125a                      ,Vanguard Hoplite          ,3
125a                      ,Vanguard Sentinel         ,3
125a                      ,Vanguard Warden           ,3
125a                      ,Vulcan                    ,3
125a                      ,Vulture                   ,3
125a                      ,X1                        ,2
125a                      ,X1 Force                  ,2
125a                      ,X1 Velocity               ,2
125a                      ,Zeus CL Mk II             ,3
125a                      ,Zeus ES Mk II             ,3
125a                      ,Zeus MR Mk II             ,4
135c                      ,100i                      ,1
135c                      ,125a                      ,1
135c                      ,300i                      ,1
135c                      ,315p                      ,2
135c                      ,325a                      ,2
135c                      ,350r                      ,2
135c                      ,400i                      ,2
135c                      ,600i Explorer             ,2
135c                      ,600i Touring              ,2
135c                      ,85X                       ,2
135c                      ,890 Jump                  ,2
135c                      ,A1 Spirit                 ,3
135c                      ,A2 Hercules               ,3
135c                      ,Apollo Medivac            ,4
135c                      ,Apollo Triage             ,4
135c                      ,Ares Star Fighter Inferno ,3
135c                      ,Ares Star Fighter Ion     ,3
135c                      ,Arrastra                  ,4
135c                      ,Arrow                     ,3
135c                      ,ATLS                      ,3
135c                      ,Aurora CL                 ,3
135c                      ,Aurora ES                 ,2
135c                      ,Aurora LN                 ,3
135c                      ,Aurora LX                 ,3
135c                      ,Aurora MR                 ,3
135c                      ,Avenger Stalker           ,3
135c                      ,Avenger Titan             ,3
135c                      ,Avenger Warlock           ,3
135c                      ,Ballista                  ,3
135c                      ,Blade                     ,3
135c                      ,Buccaneer                 ,3
135c                      ,C1 Spirit                 ,3
135c                      ,C2 Hercules               ,3
135c                      ,C8 Pisces                 ,3
135c                      ,C8R Pisces                ,3
135c                      ,C8X Pisces Expedition     ,3
135c                      ,Carrack                   ,3
135c                      ,Caterpillar               ,3
135c                      ,Centurion                 ,3
135c                      ,Constellation Andromeda   ,2
135c                      ,Constellation Aquila      ,3
135c                      ,Constellation Phoenix     ,3
135c                      ,Constellation Taurus      ,3
135c                      ,Corsair                   ,3
135c                      ,Crucible                  ,4
135c                      ,CSV-SM                    ,3
135c                      ,Cutlass Black             ,2
135c                      ,Cutlass Blue              ,3
135c                      ,Cutlass Red               ,3
135c                      ,Cutlass Steel             ,3
135c                      ,Cutter                    ,2
135c                      ,Cutter Rambler            ,3
135c                      ,Cutter Scout              ,3
135c                      ,Cyclone                   ,3
135c                      ,Cyclone AA                ,3
135c                      ,Cyclone MT                ,3
135c                      ,Cyclone RC                ,3
135c                      ,Cyclone RN                ,3
135c                      ,Cyclone TR                ,3
135c                      ,Defender                  ,3
135c                      ,Dragonfly                 ,3
135c                      ,E1 Spirit                 ,4
135c                      ,Eclipse                   ,3
135c                      ,Endeavor                  ,4
135c                      ,Expanse                   ,4
135c                      ,F7A Hornet Mk I           ,3
135c                      ,F7A Hornet Mk II          ,4
135c                      ,F7C Hornet Mk I           ,3
135c                      ,F7C Hornet Mk II          ,3
135c                      ,F7C-M Super Hornet        ,3
135c                      ,F7C-R Hornet Tracker      ,3
135c                      ,F7C-R Hornet Tracker Mk II,3
135c                      ,F7C-S Hornet Ghost        ,3
135c                      ,F7C-S Hornet Ghost Mk II  ,3
135c                      ,F8C Lightning             ,3
135c                      ,Freelancer                ,3
135c                      ,Freelancer DUR            ,3
135c                      ,Freelancer MAX            ,3
135c                      ,Freelancer MIS            ,3
135c                      ,Fury                      ,3
135c                      ,Fury LX                   ,3
135c                      ,Fury MX                   ,3
135c                      ,G12                       ,3
135c                      ,G12a                      ,3
135c                      ,G12r                      ,3
135c                      ,Galaxy                    ,3
135c                      ,Genesis                   ,4
135c                      ,Gladiator                 ,3
135c                      ,Gladius                   ,3
135c                      ,Glaive                    ,3
135c                      ,Guardian                  ,3
135c                      ,Guardian QI               ,3
135c                      ,Hammerhead                ,3
135c                      ,Hawk                      ,3
135c                      ,Herald                    ,3
135c                      ,HoverQuad                 ,3
135c                      ,Hull A                    ,3
135c                      ,Hull B                    ,4
135c                      ,Hull C                    ,3
135c                      ,Hull D                    ,4
135c                      ,Hull E                    ,4
135c                      ,Hurricane                 ,3
135c                      ,Idris-M                   ,4
135c                      ,Idris-P                   ,4
135c                      ,Intrepid                  ,3
135c                      ,Ironclad                  ,4
135c                      ,Ironclad Assault          ,4
135c                      ,Javelin                   ,4
135c                      ,Khartu-Al                 ,3
135c                      ,Kraken                    ,4
135c                      ,Kraken Privateer          ,4
135c                      ,Legionnaire               ,4
135c                      ,Liberator                 ,4
135c                      ,Lynx                      ,3
135c                      ,M2 Hercules               ,3
135c                      ,M50                       ,2
135c                      ,Mantis                    ,3
135c                      ,Merchantman               ,4
135c                      ,Mercury                   ,3
135c                      ,MOLE                      ,3
135c                      ,MPUV Cargo                ,3
135c                      ,MPUV Personnel            ,3
135c                      ,MPUV Tractor              ,3
135c                      ,Mule                      ,3
135c                      ,Mustang Alpha             ,2
135c                      ,Mustang Beta              ,3
135c                      ,Mustang Delta             ,3
135c                      ,Mustang Gamma             ,3
135c                      ,Mustang Omega             ,3
135c                      ,Nautilus                  ,4
135c                      ,Nomad                     ,2
135c                      ,Nova                      ,3
135c                      ,Nox                       ,3
135c                      ,Odyssey                   ,4
135c                      ,Orion                     ,4
135c                      ,P-52 Merlin               ,3
135c                      ,P-72 Archimedes           ,3
135c                      ,Paladin                   ,4
135c                      ,Perseus                   ,4
135c                      ,Pioneer                   ,3
135c                      ,Polaris                   ,3
135c                      ,Prospector                ,3
135c                      ,Prowler                   ,3
135c                      ,PTV                       ,3
135c                      ,Pulse                     ,3
135c                      ,Pulse LX                  ,3
135c                      ,RAFT                      ,3
135c                      ,Railen                    ,4
135c                      ,Ranger CV                 ,4
135c                      ,Ranger RC                 ,4
135c                      ,Ranger TR                 ,4
135c                      ,Razor                     ,3
135c                      ,Razor EX                  ,3
135c                      ,Razor LX                  ,3
135c                      ,Reclaimer                 ,3
135c                      ,Redeemer                  ,3
135c                      ,Reliant Kore              ,1
135c                      ,Reliant Mako              ,3
135c                      ,Reliant Sen               ,3
135c                      ,Reliant Tana              ,3
135c                      ,Retaliator                ,3
135c                      ,ROC                       ,3
135c                      ,ROC-DS                    ,3
135c                      ,Sabre                     ,3
135c                      ,Sabre Firebird            ,3
135c                      ,Sabre Peregrine           ,3
135c                      ,Sabre Raven               ,3
135c                      ,San'tok.yāi               ,3
135c                      ,Scorpius                  ,3
135c                      ,Scorpius Antares          ,3
135c                      ,Scythe                    ,3
135c                      ,Spartan                   ,3
135c                      ,SRV                       ,3
135c                      ,Starfarer                 ,3
135c                      ,Starfarer Gemini          ,3
135c                      ,Starlancer MAX            ,3
135c                      ,Starlancer TAC            ,4
135c                      ,Storm                     ,3
135c                      ,Storm AA                  ,3
135c                      ,STV                       ,3
135c                      ,Talon                     ,3
135c                      ,Ursa                      ,3
135c                      ,Talon Shrike              ,3
135c                      ,Terrapin                  ,3
135c                      ,Terrapin Medic            ,3
135c                      ,Ursa                      ,3
135c                      ,Ursa Medivac              ,3
135c                      ,Valkyrie                  ,3
135c                      ,Vanguard Harbinger        ,3
135c                      ,Vanguard Hoplite          ,3
135c                      ,Vanguard Sentinel         ,3
135c                      ,Vanguard Warden           ,3
135c                      ,Vulcan                    ,3
135c                      ,Vulture                   ,3
135c                      ,X1                        ,2
135c                      ,X1 Force                  ,2
135c                      ,X1 Velocity               ,2
135c                      ,Zeus CL Mk II             ,3
135c                      ,Zeus ES Mk II             ,3
135c                      ,Zeus MR Mk II             ,4
300i                      ,100i                      ,1
300i                      ,125a                      ,1
300i                      ,135c                      ,1
300i                      ,315p                      ,2
300i                      ,325a                      ,2
300i                      ,350r                      ,2
300i                      ,400i                      ,2
300i                      ,600i Explorer             ,2
300i                      ,600i Touring              ,2
300i                      ,85X                       ,2
300i                      ,890 Jump                  ,2
300i                      ,A1 Spirit                 ,3
300i                      ,A2 Hercules               ,3
300i                      ,Apollo Medivac            ,4
300i                      ,Apollo Triage             ,4
300i                      ,Ares Star Fighter Inferno ,3
300i                      ,Ares Star Fighter Ion     ,3
300i                      ,Arrastra                  ,4
300i                      ,Arrow                     ,3
300i                      ,ATLS                      ,3
300i                      ,Aurora CL                 ,3
300i                      ,Aurora ES                 ,2
300i                      ,Aurora LN                 ,3
300i                      ,Aurora LX                 ,3
300i                      ,Aurora MR                 ,3
300i                      ,Avenger Stalker           ,3
300i                      ,Avenger Titan             ,3
300i                      ,Avenger Warlock           ,3
300i                      ,Ballista                  ,3
300i                      ,Blade                     ,3
300i                      ,Buccaneer                 ,3
300i                      ,C1 Spirit                 ,3
300i                      ,C2 Hercules               ,3
300i                      ,C8 Pisces                 ,3
300i                      ,C8R Pisces                ,3
300i                      ,C8X Pisces Expedition     ,3
300i                      ,Carrack                   ,3
300i                      ,Caterpillar               ,3
300i                      ,Centurion                 ,3
300i                      ,Constellation Andromeda   ,2
300i                      ,Constellation Aquila      ,3
300i                      ,Constellation Phoenix     ,3
300i                      ,Constellation Taurus      ,3
300i                      ,Corsair                   ,3
300i                      ,Crucible                  ,4
300i                      ,CSV-SM                    ,3
300i                      ,Cutlass Black             ,2
300i                      ,Cutlass Blue              ,3
300i                      ,Cutlass Red               ,3
300i                      ,Cutlass Steel             ,3
300i                      ,Cutter                    ,3
300i                      ,Cutter Rambler            ,3
300i                      ,Cutter Scout              ,3
300i                      ,Cyclone                   ,3
300i                      ,Cyclone AA                ,3
300i                      ,Cyclone MT                ,3
300i                      ,Cyclone RC                ,3
300i                      ,Cyclone RN                ,3
300i                      ,Cyclone TR                ,3
300i                      ,Defender                  ,3
300i                      ,Dragonfly                 ,3
300i                      ,E1 Spirit                 ,4
300i                      ,Eclipse                   ,3
300i                      ,Endeavor                  ,4
300i                      ,Expanse                   ,4
300i                      ,F7A Hornet Mk I           ,3
300i                      ,F7A Hornet Mk II          ,4
300i                      ,F7C Hornet Mk I           ,3
300i                      ,F7C Hornet Mk II          ,3
300i                      ,F7C-M Super Hornet        ,3
300i                      ,F7C-R Hornet Tracker      ,3
300i                      ,F7C-R Hornet Tracker Mk II,3
300i                      ,F7C-S Hornet Ghost        ,3
300i                      ,F7C-S Hornet Ghost Mk II  ,3
300i                      ,F8C Lightning             ,3
300i                      ,Freelancer                ,3
300i                      ,Freelancer DUR            ,3
300i                      ,Freelancer MAX            ,3
300i                      ,Freelancer MIS            ,3
300i                      ,Fury                      ,3
300i                      ,Fury LX                   ,3
300i                      ,Fury MX                   ,3
300i                      ,G12                       ,3
300i                      ,G12a                      ,3
300i                      ,G12r                      ,3
300i                      ,Galaxy                    ,3
300i                      ,Genesis                   ,4
300i                      ,Gladiator                 ,3
300i                      ,Gladius                   ,3
300i                      ,Glaive                    ,3
300i                      ,Guardian                  ,3
300i                      ,Guardian QI               ,3
300i                      ,Hammerhead                ,3
300i                      ,Hawk                      ,3
300i                      ,Herald                    ,3
300i                      ,HoverQuad                 ,3
300i                      ,Hull A                    ,3
300i                      ,Hull B                    ,4
300i                      ,Hull C                    ,3
300i                      ,Hull D                    ,4
300i                      ,Hull E                    ,4
300i                      ,Hurricane                 ,3
300i                      ,Idris-M                   ,4
300i                      ,Idris-P                   ,4
300i                      ,Intrepid                  ,3
300i                      ,Ironclad                  ,4
300i                      ,Ironclad Assault          ,4
300i                      ,Javelin                   ,4
300i                      ,Khartu-Al                 ,3
300i                      ,Kraken                    ,4
300i                      ,Kraken Privateer          ,4
300i                      ,Legionnaire               ,4
300i                      ,Liberator                 ,4
300i                      ,Lynx                      ,3
300i                      ,M2 Hercules               ,3
300i                      ,M50                       ,2
300i                      ,Mantis                    ,3
300i                      ,Merchantman               ,4
300i                      ,Mercury                   ,3
300i                      ,MOLE                      ,3
300i                      ,MPUV Cargo                ,3
300i                      ,MPUV Personnel            ,3
300i                      ,MPUV Tractor              ,3
300i                      ,Mule                      ,3
300i                      ,Mustang Alpha             ,2
300i                      ,Mustang Beta              ,3
300i                      ,Mustang Delta             ,3
300i                      ,Mustang Gamma             ,3
300i                      ,Mustang Omega             ,3
300i                      ,Nautilus                  ,4
300i                      ,Nomad                     ,2
300i                      ,Nova                      ,3
300i                      ,Nox                       ,3
300i                      ,Odyssey                   ,4
300i                      ,Orion                     ,4
300i                      ,P-52 Merlin               ,3
300i                      ,P-72 Archimedes           ,3
300i                      ,Paladin                   ,4
300i                      ,Perseus                   ,4
300i                      ,Pioneer                   ,3
300i                      ,Polaris                   ,3
300i                      ,Prospector                ,3
300i                      ,Prowler                   ,3
300i                      ,PTV                       ,3
300i                      ,Pulse                     ,3
300i                      ,Pulse LX                  ,3
300i                      ,RAFT                      ,3
300i                      ,Railen                    ,4
300i                      ,Ranger CV                 ,4
300i                      ,Ranger RC                 ,4
300i                      ,Ranger TR                 ,4
300i                      ,Razor                     ,3
300i                      ,Razor EX                  ,3
300i                      ,Razor LX                  ,3
300i                      ,Reclaimer                 ,3
300i                      ,Redeemer                  ,3
300i                      ,Reliant Kore              ,2
300i                      ,Reliant Mako              ,3
300i                      ,Reliant Sen               ,3
300i                      ,Reliant Tana              ,3
300i                      ,Retaliator                ,3
300i                      ,ROC                       ,3
300i                      ,ROC-DS                    ,3
300i                      ,Sabre                     ,3
300i                      ,Sabre Firebird            ,3
300i                      ,Sabre Peregrine           ,3
300i                      ,Sabre Raven               ,3
300i                      ,San'tok.yāi               ,3
300i                      ,Scorpius                  ,3
300i                      ,Scorpius Antares          ,3
300i                      ,Scythe                    ,3
300i                      ,Spartan                   ,3
300i                      ,SRV                       ,3
300i                      ,Starfarer                 ,3
300i                      ,Starfarer Gemini          ,3
300i                      ,Starlancer MAX            ,3
300i                      ,Starlancer TAC            ,4
300i                      ,Storm                     ,3
300i                      ,Storm AA                  ,3
300i                      ,STV                       ,3
300i                      ,Talon                     ,3
300i                      ,Ursa                      ,3
300i                      ,Talon Shrike              ,3
300i                      ,Terrapin                  ,3
300i                      ,Terrapin Medic            ,3
300i                      ,Ursa                      ,3
300i                      ,Ursa Medivac              ,3
300i                      ,Valkyrie                  ,3
300i                      ,Vanguard Harbinger        ,3
300i                      ,Vanguard Hoplite          ,3
300i                      ,Vanguard Sentinel         ,3
300i                      ,Vanguard Warden           ,3
300i                      ,Vulcan                    ,3
300i                      ,Vulture                   ,3
300i                      ,X1                        ,2
300i                      ,X1 Force                  ,2
